Waiting time,BusStop Number,Latitude,Longitude
226,19:29:54,1,23.564355,87.28303
48,19:33:40,2,23.564355,87.2830283333
19,19:34:29,3,23.5643566667,87.2830283333
17,19:34:49,4,23.5643566667,87.2830266667
10,19:35:16,5,23.5643816667,87.2829366667
45,19:35:29,6,23.5643833333,87.2829366667
17,19:36:15,7,23.564385,87.2829366667
68,19:36:33,8,23.564385,87.282935
127,19:37:42,9,23.564385,87.2829333333
95,19:39:50,10,23.564385,87.2829316667
106,19:41:26,11,23.5643866667,87.2829316667
45,19:43:13,12,23.5643883333,87.2829316667
71,19:43:59,13,23.5643883333,87.28293
75,19:45:11,14,23.5643883333,87.2829283333
49,19:46:27,15,23.5643883333,87.2829266667
34,19:47:17,16,23.5643883333,87.282925
3,19:48:05,17,23.5643683333,87.2828516667
68,19:48:09,18,23.5643683333,87.28285
12,19:50:01,19,23.5644066667,87.2824733333
19,19:50:16,20,23.5644066667,87.2824733333
8,19:50:55,21,23.5645283333,87.2823516667
11,19:53:34,22,23.5692183333,87.2868566667
2,19:56:03,23,23.5720833333,87.2783866667
4,19:56:06,24,23.5720833333,87.2783883333
13,19:58:46,25,23.5796283333,87.2734466667
125,20:00:06,26,23.5823133333,87.275995
10,20:03:33,27,23.5802833333,87.2794166667
23,20:06:51,28,23.582745,87.2833266667
15,20:07:55,29,23.5845666667,87.2834683333
3,20:09:01,30,23.587205,87.2834733333
7,20:09:15,31,23.587345,87.2834133333
6,20:10:13,32,23.5887816667,87.2819866667
7,20:11:49,33,23.5888866667,87.2862583333
24,20:12:39,34,23.5869533333,87.2879033333
7,20:13:28,35,23.586285,87.2875583333
2,20:14:09,36,23.5846366667,87.2875416667
10,20:15:28,37,23.5801533333,87.2874833333
7,20:17:07,38,23.5793216667,87.2915516667
5,20:17:51,39,23.5774333333,87.291545
2,20:19:53,40,23.5741566667,87.2957183333
26,20:20:50,41,23.5740866667,87.2992333333
115,20:23:09,42,23.5721083333,87.3025733333
21,20:31:43,43,23.5483566667,87.3014766667
3,20:37:15,44,23.544625,87.30205
368,20:41:55,45,23.5358166667,87.2977983333
45,20:48:04,46,23.535815,87.2977983333
2,20:48:55,47,23.53581,87.2978133333
20,20:48:59,48,23.5358083333,87.297815
46,20:49:25,49,23.5357966667,87.2978366667
25,20:54:24,50,23.5281866667,87.311145
2,20:54:59,51,23.528075,87.3111333333
3,20:55:02,52,23.5280766667,87.3111333333
5,20:55:06,53,23.5280766667,87.311135
35,20:55:35,54,23.527185,87.3111733333
2,20:59:12,55,23.5107666667,87.3106633333
11,21:01:16,56,23.5036133333,87.30771
16,21:02:32,57,23.50042,87.305955
371,21:05:43,58,23.49465,87.3171466667
28,21:11:55,59,23.4946483333,87.3171466667
35,21:12:24,60,23.4946483333,87.3171483333
27,21:13:00,61,23.4946466667,87.3171483333
3,21:13:35,62,23.49463,87.3171666667
5,21:13:45,63,23.4946216667,87.3171683333
2,21:14:05,64,23.4945566667,87.3171566667
7,21:14:10,65,23.4945583333,87.31716
80,21:14:18,66,23.49456,87.31716
3,21:15:45,67,23.49454,87.31715
18,21:15:58,68,23.4945283333,87.31714
20,21:16:18,69,23.494525,87.3171383333
13,21:16:43,70,23.4945183333,87.3171316667
11,21:16:57,71,23.4945166667,87.31713
