Waiting time,BusStop Number,Latitude,Longitude
3,16:21:13,1,23.5643433333,87.2830633333
2,16:21:17,2,23.5643433333,87.283065
31,16:21:20,3,23.5643433333,87.2830633333
25,16:21:52,4,23.5643433333,87.283065
7,16:22:24,5,23.5643316667,87.2830766667
2,16:22:47,6,23.564365,87.283055
4,16:22:50,7,23.5643633333,87.283055
2,16:23:00,8,23.564365,87.283045
3,16:23:06,9,23.5643633333,87.2830416667
4,16:23:11,10,23.564365,87.28304
14,16:23:26,11,23.564365,87.2829633333
2,16:24:45,12,23.564405,87.2829566667
3,16:24:48,13,23.5644066667,87.282955
43,16:24:54,14,23.5644066667,87.2829583333
78,16:25:38,15,23.564405,87.2829583333
21,16:26:57,16,23.5644033333,87.2829583333
56,16:27:19,17,23.5644033333,87.28296
101,16:28:16,18,23.5644033333,87.2829616667
11,16:29:58,19,23.5644016667,87.2829616667
13,16:30:10,20,23.5644033333,87.2829616667
24,16:30:24,21,23.5644016667,87.2829616667
18,16:30:52,22,23.5643966667,87.28296
2,16:31:18,23,23.5643633333,87.28296
39,16:31:23,24,23.564365,87.2829633333
4,16:32:03,25,23.5643666667,87.2829633333
93,16:32:08,26,23.5643666667,87.2829616667
76,16:33:42,27,23.5643683333,87.2829616667
85,16:34:59,28,23.5643683333,87.2829633333
181,16:36:25,29,23.5643683333,87.282965
7,16:39:30,30,23.56437,87.2829683333
6,16:39:38,31,23.56437,87.28297
2,16:39:45,32,23.56437,87.2829683333
4,16:41:32,33,23.5645116667,87.2823383333
15,16:41:39,34,23.56451,87.2823366667
3,16:42:01,35,23.5645083333,87.2823516667
8,17:04:18,36,23.574115,87.299205
13,17:04:27,37,23.574115,87.2992066667
21,17:04:53,38,23.5740716667,87.29924
2,17:05:31,39,23.5740766667,87.2992583333
4,17:05:49,40,23.5740583333,87.29925
23,17:05:56,41,23.5740583333,87.29925
2,17:06:20,42,23.5740583333,87.2992483333
70,17:06:23,43,23.57406,87.2992483333
16,17:10:02,44,23.5722483333,87.3025833333
73,17:10:24,45,23.5722483333,87.3025816667
14,17:12:32,46,23.572195,87.3025183333
3,17:12:47,47,23.572195,87.3025166667
28,17:12:51,48,23.5721933333,87.3025166667
9,17:13:20,49,23.5721916667,87.3025166667
4,17:15:50,50,23.5681716667,87.2988866667
16,17:31:22,51,23.5357116667,87.29752
2,17:31:58,52,23.5357566667,87.297675
2,17:32:02,53,23.5357566667,87.297675
3,17:32:08,54,23.5357566667,87.2976733333
16,17:32:12,55,23.5357566667,87.297675
8,17:32:29,56,23.535755,87.297675
2,17:32:51,57,23.5357583333,87.2976916667
4,17:32:56,58,23.535755,87.297695
6,17:33:01,59,23.535755,87.2976933333
2,17:33:11,60,23.5357566667,87.29769
2,17:33:14,61,23.5357583333,87.29769
61,17:33:18,62,23.53576,87.2976916667
20,17:34:20,63,23.5357616667,87.2976916667
5,17:34:52,64,23.535785,87.2977233333
2,17:34:59,65,23.5357866667,87.2977216667
4,17:35:03,66,23.535785,87.2977233333
29,17:35:08,67,23.535785,87.2977216667
10,17:35:38,68,23.535785,87.2977233333
41,17:35:49,69,23.5357866667,87.2977233333
30,17:36:31,70,23.5357866667,87.297725
13,17:37:02,71,23.535785,87.297725
2,17:50:35,72,23.4945883333,87.3172316667
20,17:50:43,73,23.4945883333,87.3172266667
62,17:51:08,74,23.4945866667,87.31722
11,17:52:11,75,23.4945883333,87.31722
25,17:52:23,76,23.4945883333,87.3172183333
8,17:53:00,77,23.4946033333,87.3172033333
30,17:53:09,78,23.4946033333,87.3172016667
2,17:54:11,79,23.49458,87.31716
2,17:54:16,80,23.4945783333,87.3171566667
2,17:54:28,81,23.49457,87.3171566667
7,17:54:31,82,23.49457,87.3171583333
4,17:54:53,83,23.494535,87.3171466667
18,17:54:58,84,23.494535,87.3171483333
3,17:55:26,85,23.49453,87.3171466667
17,17:55:32,86,23.4945283333,87.31715
19,17:55:53,87,23.4945233333,87.317145
5,17:56:28,88,23.4945083333,87.31716
31,17:56:34,89,23.4945066667,87.31716
4,17:57:06,90,23.494505,87.31716
11,17:57:14,91,23.4945033333,87.31716
2,17:57:33,92,23.4944883333,87.317155
3,17:57:38,93,23.4944833333,87.3171516667
2,17:57:45,94,23.4944816667,87.3171466667
22,17:57:49,95,23.4944816667,87.3171466667
13,17:58:12,96,23.49448,87.3171466667
6,17:58:50,97,23.49422,87.3171116667
