Waiting time,BusStop Number,Latitude,Longitude
286,16:36:06,1,23.564325,87.2830066667
117,16:40:52,2,23.564325,87.283005
43,16:42:50,3,23.564325,87.2830033333
34,16:43:34,4,23.5643266667,87.2830033333
13,16:44:09,5,23.564325,87.2830033333
144,16:44:23,6,23.564325,87.283005
90,16:46:48,7,23.5643266667,87.283005
19,16:48:19,8,23.5643266667,87.2830033333
33,16:48:39,9,23.5643266667,87.283005
58,16:49:13,10,23.5643266667,87.2830033333
202,16:50:14,11,23.5643283333,87.283005
26,16:53:37,12,23.56433,87.283005
87,16:54:04,13,23.5643283333,87.283005
49,16:55:32,14,23.56433,87.283005
8,16:56:42,15,23.5643333333,87.28285
30,16:56:51,16,23.5643316667,87.28285
21,16:57:38,17,23.5643516667,87.282615
2,16:58:35,18,23.56447,87.282375
2,16:58:38,19,23.5644683333,87.282375
12,16:58:56,20,23.5646116667,87.282445
3,17:00:32,21,23.5674266667,87.286905
3,17:02:58,22,23.572055,87.27842
7,17:03:53,23,23.5736166667,87.2765266667
2,17:04:48,24,23.5764433333,87.2749183333
13,17:05:41,25,23.5796116667,87.2734883333
25,17:07:05,26,23.58232,87.2760033333
9,17:08:26,27,23.5802616667,87.2794383333
4,17:09:25,28,23.578585,87.28268
3,17:10:54,29,23.5827183333,87.2833566667
4,17:11:30,30,23.584465,87.2834933333
3,17:12:16,31,23.58717,87.283505
11,17:13:03,32,23.58875,87.2820016667
8,17:14:07,33,23.5905566667,87.2846316667
3,17:14:26,34,23.5904483333,87.2847383333
20,17:14:30,35,23.5904483333,87.28474
6,17:15:51,36,23.5863816667,87.287585
2,17:15:58,37,23.58638,87.287585
3,17:16:01,38,23.5863816667,87.287585
2,17:16:05,39,23.58638,87.287585
5,17:16:52,40,23.583225,87.2875166667
221,17:21:49,41,23.574085,87.2992433333
22,17:25:31,42,23.5740833333,87.2992483333
3,17:27:06,43,23.5741916667,87.3025466667
43,17:27:51,44,23.5722283333,87.3025716667
2,17:28:56,45,23.57203,87.3025883333
80,17:28:59,46,23.57203,87.30259
19,17:30:20,47,23.5720283333,87.30259
19,17:30:41,48,23.5720283333,87.30259
6,17:31:01,49,23.5720266667,87.30259
19,17:31:08,50,23.5720266667,87.3025883333
9,17:32:29,51,23.5678316667,87.30233
5,17:34:27,52,23.562525,87.2987883333
4,17:35:16,53,23.559985,87.2987866667
2,17:36:04,54,23.5575933333,87.2987733333
6,17:38:41,55,23.548695,87.3008733333
6,17:39:33,56,23.5482016667,87.303775
10,17:40:34,57,23.5481666667,87.3076166667
28,17:41:44,58,23.546575,87.3098366667
9,17:43:03,59,23.5444383333,87.3083616667
5,17:43:56,60,23.5424033333,87.306935
9,17:44:47,61,23.5433316667,87.3046316667
5,17:46:22,62,23.5417433333,87.30012
2,17:49:50,63,23.53567,87.297505
94,17:49:53,64,23.53567,87.2975066667
24,17:51:45,65,23.5356983333,87.2977633333
3,17:52:24,66,23.5357133333,87.2978183333
11,17:52:28,67,23.5357133333,87.29782
2,17:52:46,68,23.5357166667,87.2978633333
26,17:53:05,69,23.535695,87.29796
7,17:53:32,70,23.5356933333,87.29796
2,17:55:53,71,23.5333216667,87.3065
3,17:55:56,72,23.53332,87.3064983333
11,17:57:24,73,23.5281133333,87.3111316667
2,17:57:49,74,23.5279183333,87.31111
10,17:59:51,75,23.5193133333,87.3112383333
31,18:03:23,76,23.503555,87.3077
20,18:04:56,77,23.5002816667,87.3059883333
13,18:06:54,78,23.4964633333,87.3135916667
251,18:08:39,79,23.4945866667,87.31716
39,18:13:06,80,23.4945333333,87.3171733333
10,18:13:51,81,23.49452,87.31717
95,18:14:02,82,23.49452,87.3171716667
22,18:15:38,83,23.4945183333,87.3171716667
10,18:16:11,84,23.4944983333,87.3171583333
3,18:16:36,85,23.4944283333,87.3171316667
26,18:16:40,86,23.4944266667,87.3171316667
7,18:17:19,87,23.4943833333,87.3171166667
43,18:17:27,88,23.4943816667,87.317115
2,18:18:21,89,23.4943183333,87.31712
2,18:18:24,90,23.4943166667,87.31712
15,18:18:31,91,23.4943183333,87.31712
