Waiting time,BusStop Number,Latitude,Longitude
9,15:55:47,1,23.5643716667,87.28292
127,15:55:57,2,23.5643733333,87.28292
214,15:58:05,3,23.5643716667,87.2829216667
23,16:01:40,4,23.5643733333,87.2829216667
67,16:02:04,5,23.5643733333,87.28292
43,16:03:12,6,23.564375,87.28292
20,16:03:56,7,23.5643766667,87.28292
26,16:04:17,8,23.5643766667,87.2829216667
29,16:04:44,9,23.5643783333,87.2829216667
97,16:05:14,10,23.56438,87.2829216667
9,16:06:52,11,23.5643816667,87.2829216667
5,16:07:02,12,23.5643816667,87.28292
39,16:07:08,13,23.56438,87.28292
65,16:07:48,14,23.5643816667,87.28292
18,16:08:54,15,23.5643833333,87.28292
108,16:09:13,16,23.5643833333,87.2829216667
53,16:11:02,17,23.564385,87.2829216667
40,16:11:56,18,23.564385,87.2829233333
10,16:12:37,19,23.5643866667,87.2829233333
7,16:12:48,20,23.5643866667,87.2829216667
3,16:13:03,21,23.5644,87.2828933333
6,16:13:24,22,23.5643566667,87.2827733333
3,16:13:32,23,23.5643566667,87.2827733333
2,16:18:23,24,23.5720833333,87.2783583333
12,16:19:25,25,23.5736683333,87.2764583333
2,16:20:28,26,23.5764866667,87.274845
13,16:21:28,27,23.5795766667,87.27341
2,16:22:02,28,23.58013,87.2735866667
47,16:23:00,29,23.5823116667,87.27599
7,16:24:49,30,23.58026,87.279445
5,16:27:00,31,23.5827516667,87.28331
13,16:28:57,32,23.588785,87.2819283333
5,16:30:06,33,23.5905433333,87.2845766667
6,16:31:26,34,23.586395,87.28756
4,16:33:11,35,23.5800466667,87.2875016667
10,16:33:16,36,23.5800416667,87.2875016667
6,16:34:30,37,23.5792883333,87.2915116667
4,16:35:31,38,23.5750933333,87.2914566667
24,16:37:22,39,23.5741166667,87.29919
17,16:37:47,40,23.5741166667,87.2991883333
6,16:38:22,41,23.574085,87.2992633333
2,16:38:29,42,23.574085,87.299265
129,16:40:11,43,23.57227,87.3025333333
4,16:44:39,44,23.5680783333,87.2988233333
6,16:45:29,45,23.564955,87.2988466667
17,16:46:57,46,23.5599516667,87.2987883333
99,16:52:46,47,23.5465583333,87.3098033333
5,16:55:37,48,23.54432,87.3082416667
40,16:58:25,49,23.54464,87.3020666667
6,17:01:31,50,23.53757,87.2967183333
10,17:02:12,51,23.5360433333,87.2957883333
82,17:03:09,52,23.5356933333,87.2974983333
2,17:04:44,53,23.5357283333,87.2976033333
7,17:04:54,54,23.5357283333,87.2976133333
8,17:05:02,55,23.5357266667,87.297615
6,17:05:20,56,23.5357483333,87.2976666667
2,17:05:27,57,23.5357466667,87.2976666667
9,17:05:30,58,23.5357483333,87.2976666667
2,17:06:00,59,23.5357666667,87.2977933333
3,17:06:04,60,23.5357666667,87.2977933333
10,17:06:08,61,23.5357666667,87.297795
2,17:06:45,62,23.5356116667,87.2981266667
2,17:08:00,63,23.53449,87.301855
13,17:10:25,64,23.5282033333,87.31115
2,17:16:29,65,23.50402,87.3079366667
55,17:16:48,66,23.5036266667,87.3077133333
6,17:18:42,67,23.50042,87.305935
3,17:21:27,68,23.4946666667,87.3171416667
5,17:21:31,69,23.4946666667,87.3171433333
240,17:21:37,70,23.4946666667,87.3171416667
13,17:25:38,71,23.4946666667,87.3171433333
4,17:26:04,72,23.4946316667,87.31716
2,17:26:11,73,23.49463,87.3171616667
37,17:26:15,74,23.4946283333,87.3171633333
22,17:26:53,75,23.4946266667,87.3171633333
11,17:27:34,76,23.4945633333,87.31716
2,17:27:48,77,23.4945633333,87.31716
4,17:27:51,78,23.494565,87.31716
14,17:27:56,79,23.4945633333,87.3171616667
2,17:28:15,80,23.4945566667,87.31716
2,17:28:26,81,23.4945433333,87.3171533333
14,17:28:29,82,23.4945416667,87.3171533333
55,17:28:44,83,23.49454,87.3171533333
2,17:30:06,84,23.4944633333,87.3171333333
2,17:30:09,85,23.4944616667,87.3171333333
3,17:30:31,86,23.4944,87.3171216667
2,17:30:50,87,23.494385,87.3170616667
13,17:30:53,88,23.4943866667,87.3170616667
6,17:31:26,89,23.4942566667,87.3170716667
3,17:31:33,90,23.4942566667,87.3170733333
