Group ID,Consecutive Group Distance(mts),Wait time,Farthest distance(mts),Group length,Group(Wait time,Latitude,Longitude)
1,-1.0,1362,62.0,39,	['163,23.5643516667,87.2830183333', '2,23.5643283333,87.283065', '40,23.5643533333,87.2830183333', '2,23.5643533333,87.2830166667', '25,23.564355,87.2830183333', '78,23.5643516667,87.28302', '7,23.5643516667,87.2830166667', '69,23.5643533333,87.2830166667', '104,23.564355,87.2830166667', '2,23.564355,87.283015', '9,23.5643566667,87.283015', '21,23.5643566667,87.283015', '14,23.5643566667,87.2830166667', '15,23.5643566667,87.283015', '74,23.5643566667,87.2830166667', '134,23.5643583333,87.2830166667', '40,23.5643583333,87.2830183333', '4,23.56437,87.2829916667', '2,23.56437,87.2829916667', '19,23.56437,87.2829916667', '90,23.56437,87.2829933333', '53,23.56437,87.282995', '10,23.5643683333,87.282995', '123,23.5643683333,87.2829966667', '80,23.5643683333,87.2829966667', '25,23.56437,87.282995', '17,23.56437,87.2829983333', '29,23.5643683333,87.2829983333', '21,23.56437,87.2829983333', '6,23.564335,87.2829516667', '22,23.564335,87.2829533333', '8,23.564335,87.2829516667', '2,23.5643283333,87.2827933333', '3,23.5643266667,87.282795', '25,23.5643266667,87.2827966667', '2,23.5643266667,87.282795', '6,23.564345,87.282715', '12,23.564345,87.2827133333', '4,23.5644566667,87.2824733333']
2,692.61,4,0.0,1,	['4,23.56921,87.286865']
3,921.5,4,0.0,1,	['4,23.5720933333,87.2783883333']
4,974.46,40,0.0,1,	['40,23.5795966667,87.2734483333']
5,396.18,26,0.0,1,	['26,23.5822766667,87.27601']
6,173.12,3,0.0,1,	['3,23.5813816667,87.2774']
7,245.13,13,0.0,1,	['13,23.5802666667,87.279475']
8,979.52,17,0.0,1,	['17,23.588775,87.281965']
9,629.37,7,0.0,1,	['7,23.586375,87.2875583333']
10,707.25,12,0.0,1,	['12,23.580015,87.287475']
11,421.56,5,0.0,1,	['5,23.579305,87.2915383333']
12,713.82,14,0.0,1,	['14,23.5741483333,87.29571']
13,355.21,51,0.0,1,	['51,23.574105,87.299195']
14,410.34,189,66.2,3,	['153,23.572095,87.3025716667', '10,23.571515,87.3025616667', '26,23.5715,87.3025616667']
15,1052.4,2,0.0,1,	['2,23.5626883333,87.2987933333']
16,288.74,49,0.0,1,	['49,23.5600916667,87.298785']
17,289.67,12,0.0,1,	['12,23.5574866667,87.29876']
18,729.99,29,0.0,1,	['29,23.5512216667,87.29662']
19,515.81,4,0.0,1,	['4,23.5487133333,87.3008766667']
20,897.87,74,43.3,3,	['60,23.544425,87.30834', '3,23.5443733333,87.3083116667', '11,23.5441,87.3081066667']
21,217.25,26,0.0,1,	['26,23.54246,87.3069483333']
22,262.69,11,0.1,2,	['7,23.5433583333,87.304565', '4,23.5433583333,87.3045666667']
23,291.16,9,0.0,1,	['9,23.5445966667,87.3020483333']
24,375.17,6,0.0,1,	['6,23.5417333333,87.3001016667']
25,376.85,6,0.0,1,	['6,23.5388316667,87.2981916667']
26,208.23,12,0.0,1,	['12,23.5375266667,87.2967266667']
27,242.42,156,55.4,5,	['56,23.5356516667,87.29794', '80,23.535615,87.2974', '4,23.5356233333,87.2974183333', '8,23.5356516667,87.2979416667', '8,23.5356533333,87.29794']
28,1585.89,33,97.7,3,	['26,23.5281216667,87.31115', '2,23.52812,87.31115', '5,23.5272433333,87.311155']
29,3042.49,7,0.0,1,	['7,23.5002983333,87.3059666667']
30,882.79,3,0.0,1,	['3,23.49648,87.3135566667']
31,440.37,494,41.3,14,	['94,23.494225,87.3171066667', '128,23.4945916667,87.3171583333', '95,23.4945183333,87.317155', '23,23.4945,87.3171416667', '10,23.4944983333,87.3171416667', '7,23.4944483333,87.317115', '16,23.49445,87.317115', '6,23.4944483333,87.317115', '28,23.494395,87.3171', '6,23.4942266667,87.3171066667', '8,23.4942233333,87.3171066667', '30,23.4942233333,87.317105', '23,23.4942233333,87.3171066667', '20,23.4942233333,87.317105']
