Group ID,Consecutive Group Distance(mts),Wait time,Farthest distance(mts),Group length,Group(Wait time,Latitude,Longitude)
1,-1.0,1481,73.6,40,	['169,23.5643333333,87.2830716667', '113,23.56433,87.28307', '10,23.5643316667,87.28307', '56,23.5643316667,87.2830716667', '3,23.5643466667,87.2830116667', '2,23.5643483333,87.2830133333', '66,23.5643483333,87.2830116667', '55,23.56435,87.2830116667', '49,23.5643516667,87.28301', '24,23.5643516667,87.2830083333', '31,23.5643533333,87.2830083333', '21,23.5643533333,87.2830066667', '74,23.564355,87.2830066667', '44,23.5643566667,87.2830066667', '30,23.5643583333,87.2830066667', '102,23.56436,87.2830066667', '41,23.564375,87.2829533333', '42,23.5643766667,87.2829533333', '40,23.5643783333,87.2829533333', '7,23.5643783333,87.2829516667', '75,23.56438,87.2829516667', '35,23.5643816667,87.2829516667', '64,23.5643816667,87.28295', '33,23.5643816667,87.2829483333', '38,23.5643816667,87.2829466667', '23,23.5643833333,87.2829466667', '41,23.5643833333,87.282945', '48,23.5643833333,87.2829433333', '71,23.5643833333,87.2829416667', '14,23.5643816667,87.2829416667', '9,23.5643833333,87.2829416667', '2,23.5643833333,87.28294', '4,23.5643483333,87.2827283333', '3,23.56452,87.2823816667', '5,23.5645216667,87.2823816667', '25,23.56452,87.28238', '3,23.5645216667,87.28238', '2,23.56464,87.2825366667', '2,23.56464,87.282535', '5,23.56464,87.282535']
2,971.01,10,0.0,1,	['10,23.57197,87.2773566667']
3,935.73,5,0.0,2,	['3,23.5795983333,87.27348', '2,23.5795983333,87.27348']
4,398.87,191,95.7,8,	['100,23.5823183333,87.2760316667', '5,23.5823183333,87.276035', '14,23.5823183333,87.276035', '14,23.5823183333,87.2760333333', '17,23.58232,87.2760333333', '28,23.58232,87.2760316667', '9,23.5823166667,87.2760316667', '4,23.5817616667,87.2767466667']
5,315.12,5,0.0,1,	['5,23.5803166667,87.2794066667']
6,479.17,10,0.0,1,	['10,23.5827283333,87.2833033333']
7,491.14,5,0.0,1,	['5,23.5871416667,87.2834966667']
8,239.2,58,0.2,4,	['35,23.5887366667,87.2819216667', '11,23.5887366667,87.2819216667', '8,23.5887366667,87.2819216667', '4,23.5887366667,87.2819233333']
9,340.16,3,0.0,1,	['3,23.59064,87.284535']
10,267.58,2,0.0,1,	['2,23.5888666667,87.28631']
11,307.04,7,0.0,1,	['7,23.5863633333,87.2875816667']
12,710.98,22,0.2,2,	['14,23.57997,87.2874816667', '8,23.57997,87.2874833333']
13,422.78,22,0.0,1,	['22,23.57929,87.2915633333']
14,478.39,26,0.2,3,	['19,23.5749883333,87.2914833333', '2,23.5749883333,87.2914833333', '5,23.5749866667,87.2914833333']
15,1172.58,232,0.4,7,	['85,23.5721416667,87.3025616667', '2,23.5721433333,87.3025633333', '7,23.5721433333,87.3025633333', '4,23.572145,87.3025633333', '2,23.5721433333,87.302565', '74,23.5721433333,87.3025633333', '58,23.5721416667,87.3025633333']
16,453.91,8,0.2,2,	['5,23.56806,87.3024983333', '3,23.56806,87.3025']
17,369.26,8,0.0,1,	['8,23.5681516667,87.2988783333']
18,628.72,2,0.0,1,	['2,23.5624983333,87.2987716667']
19,278.73,15,0.0,1,	['15,23.5599916667,87.2987766667']
20,1985.05,5,0.2,2,	['3,23.544425,87.30831', '2,23.544425,87.3083116667']
21,260.98,4,0.2,2,	['2,23.542455,87.30692', '2,23.5424566667,87.30692']
22,549.83,5,0.0,1,	['5,23.5446233333,87.3020716667']
23,165.25,2,0.0,1,	['2,23.5433616667,87.301215']
24,207.56,2,0.0,1,	['2,23.541785,87.300125']
25,579.36,23,0.3,3,	['19,23.537575,87.2967766667', '2,23.5375766667,87.2967766667', '2,23.5375766667,87.2967783333']
26,211.34,2,0.0,1,	['2,23.5357316667,87.2962716667']
