Group ID,Consecutive Group Distance(mts),Wait time,Farthest distance(mts),Group length,Group(Wait time,Latitude,Longitude)
1,-1.0,1889,29.7,44,	['239,23.564325,87.2829533333', '232,23.5643383333,87.2829466667', '65,23.5643383333,87.2829483333', '7,23.5643383333,87.2829466667', '3,23.5643383333,87.2829483333', '14,23.5643383333,87.2829466667', '54,23.5643383333,87.2829483333', '43,23.5643366667,87.2829483333', '6,23.5643383333,87.2829483333', '110,23.5643366667,87.2829483333', '3,23.5643366667,87.2829466667', '2,23.5643366667,87.2829483333', '25,23.5643366667,87.2829466667', '47,23.564335,87.2829466667', '49,23.5643366667,87.2829466667', '33,23.564335,87.2829466667', '47,23.564335,87.2829483333', '34,23.5643333333,87.2829483333', '24,23.5643333333,87.28295', '50,23.5643316667,87.28295', '72,23.5643316667,87.2829516667', '67,23.56433,87.2829516667', '6,23.56433,87.2829533333', '56,23.56433,87.2829516667', '23,23.56433,87.2829533333', '31,23.5643283333,87.2829533333', '54,23.5643283333,87.2829516667', '8,23.5643266667,87.2829516667', '13,23.5643266667,87.2829533333', '23,23.5643266667,87.2829516667', '12,23.564325,87.2829516667', '9,23.564325,87.2829533333', '76,23.564325,87.2829516667', '36,23.5643233333,87.2829516667', '51,23.5643233333,87.2829533333', '85,23.5643216667,87.2829533333', '21,23.56432,87.2829533333', '51,23.56432,87.282955', '36,23.5643183333,87.282955', '4,23.5643183333,87.2829566667', '25,23.5643166667,87.2829566667', '32,23.5643183333,87.2829566667', '7,23.5642466667,87.2826783333', '4,23.5642466667,87.2826766667']
2,1225.55,15,0.0,1,	['15,23.5736866667,87.27647']
3,330.51,2,0.0,1,	['2,23.5763283333,87.2749833333']
4,399.56,9,0.0,1,	['9,23.5796533333,87.2734966667']
5,391.74,82,0.0,1,	['82,23.5823016667,87.2760316667']
6,798.02,3,0.0,1,	['3,23.57999,87.283445']
7,988.97,17,0.0,1,	['17,23.5887866667,87.2820133333']
8,1124.29,13,0.2,3,	['9,23.5800033333,87.2874783333', '2,23.580005,87.2874783333', '2,23.5800033333,87.2874783333']
9,1365.65,12,0.5,2,	['7,23.5741016667,87.29923', '5,23.5741,87.299235']
10,404.79,185,0.0,1,	['185,23.57213,87.302575']
11,1411.77,30,0.0,1,	['30,23.5599233333,87.298765']
12,278.18,8,0.0,1,	['8,23.5574216667,87.2987516667']
13,1306.09,9,0.0,1,	['9,23.548175,87.3066533333']
14,369.47,71,0.6,3,	['47,23.5464916667,87.3097783333', '2,23.5464866667,87.3097783333', '22,23.5464916667,87.30978']
15,299.73,14,0.0,1,	['14,23.5442183333,87.3082']
16,379.01,5,0.0,1,	['5,23.5433783333,87.3045966667']
17,290.55,2,0.0,1,	['2,23.5446333333,87.3020966667']
18,756.72,3,0.0,1,	['3,23.5388466667,87.29819']
19,298.72,23,93.5,2,	['21,23.5367783333,87.29632', '2,23.5375316667,87.2967266667']
20,180.74,220,0.0,1,	['220,23.535785,87.2977233333']
21,1606.66,10,0.0,1,	['10,23.528175,87.31112']
22,109.17,10,0.2,2,	['7,23.5271933333,87.3111366667', '3,23.5271916667,87.3111366667']
23,2632.82,2,0.0,1,	['2,23.5037133333,87.3078083333']
24,417.56,3,0.0,1,	['3,23.5003516667,87.3059833333']
25,1305.85,402,44.7,13,	['247,23.494625,87.3171633333', '2,23.4946233333,87.317165', '20,23.4946066667,87.31717', '4,23.4945883333,87.3171766667', '3,23.4945883333,87.3171783333', '7,23.4945416667,87.3171633333', '11,23.494535,87.317155', '26,23.494535,87.3171533333', '32,23.4945333333,87.3171533333', '16,23.49453,87.31715', '5,23.49438,87.317085', '27,23.4943816667,87.317085', '2,23.4942283333,87.317095']
