Waiting time,BusStop Number,Latitude,Longitude
54,08:17:17,1,23.564375,87.2830066667
4,08:18:45,2,23.5644133333,87.2829183333
3,08:18:50,3,23.5644133333,87.2829166667
4,08:18:54,4,23.5644133333,87.282915
148,08:18:59,5,23.5644116667,87.282915
37,08:21:28,6,23.5644133333,87.282915
16,08:22:06,7,23.5644116667,87.282915
51,08:22:23,8,23.5644116667,87.2829133333
3,08:23:31,9,23.56437,87.2828633333
15,08:23:35,10,23.56437,87.282865
17,08:23:51,11,23.56437,87.2828633333
16,08:29:44,12,23.5735966667,87.27654
28,08:31:34,13,23.57958,87.2734966667
41,08:33:19,14,23.5822933333,87.27603
2,08:34:28,15,23.58186,87.2765766667
34,08:38:59,16,23.5887683333,87.2820283333
15,08:40:40,17,23.5905516667,87.2846166667
2,08:41:26,18,23.5889566667,87.286225
3,08:42:27,19,23.5863666667,87.2875966667
13,08:44:13,20,23.5800266667,87.2875166667
9,08:45:40,21,23.5792833333,87.2915466667
3,08:46:43,22,23.5750433333,87.2915133333
161,08:48:40,23,23.5740983333,87.2992383333
66,08:53:10,24,23.5722416667,87.3025766667
3,08:57:46,25,23.5600466667,87.298775
7,08:59:34,26,23.5512566667,87.2966216667
33,09:02:49,27,23.546545,87.309845
11,09:05:02,28,23.54243,87.3069483333
7,09:07:00,29,23.5444816667,87.30267
15,09:07:35,30,23.5446316667,87.3020916667
2,09:08:55,31,23.5417716667,87.30012
22,09:10:22,32,23.538615,87.2980533333
9,09:11:33,33,23.5374866667,87.2967083333
52,09:13:03,34,23.5355216667,87.2972416667
2,09:13:56,35,23.535525,87.2972466667
21,09:14:24,36,23.53572,87.2975116667
49,09:14:54,37,23.5357333333,87.2976016667
2,09:15:49,38,23.5357366667,87.2976216667
2,09:15:52,39,23.5357383333,87.2976216667
6,09:16:26,40,23.53576,87.2977566667
6,09:16:35,41,23.53576,87.2977566667
19,09:16:42,42,23.5357583333,87.2977566667
43,09:19:24,43,23.5333616667,87.3065366667
17,09:21:48,44,23.527225,87.3111683333
5,09:23:10,45,23.521005,87.3114366667
9,09:28:05,46,23.500095,87.3061333333
266,09:30:59,47,23.4946316667,87.3171866667
21,09:35:26,48,23.49463,87.3171866667
18,09:35:48,49,23.49463,87.317185
33,09:36:07,50,23.4946283333,87.317185
27,09:36:41,51,23.4946266667,87.317185
8,09:37:29,52,23.4945783333,87.31717
2,09:37:38,53,23.4945783333,87.3171683333
13,09:37:41,54,23.4945766667,87.3171683333
4,09:38:02,55,23.49455,87.3171466667
9,09:38:07,56,23.49455,87.3171483333
17,09:38:17,57,23.49455,87.3171466667
12,09:38:35,58,23.4945483333,87.3171466667
2,09:38:52,59,23.4945416667,87.31715
8,09:38:55,60,23.49454,87.3171483333
2,09:39:21,61,23.4943416667,87.31713
25,09:39:24,62,23.4943416667,87.3171283333
4,09:39:58,63,23.4943133333,87.3171366667
5,09:40:05,64,23.49431,87.3171366667
2,09:40:18,65,23.4943016667,87.3171383333
26,09:40:28,66,23.494285,87.3171433333
8,09:40:55,67,23.4942833333,87.3171433333
