Waiting time,BusStop Number,Latitude,Longitude
78,07:50:39,1,23.5644533333,87.2829766667
2,07:51:58,2,23.5644533333,87.282975
42,07:52:01,3,23.5644516667,87.282975
10,07:52:44,4,23.5644516667,87.2829733333
32,07:52:55,5,23.56445,87.2829733333
5,07:53:28,6,23.56445,87.2829716667
55,07:53:34,7,23.5644483333,87.2829716667
7,07:54:30,8,23.5644483333,87.28297
2,07:54:45,9,23.5644416667,87.2829583333
41,07:55:02,10,23.564425,87.28295
29,07:55:46,11,23.5644283333,87.2829483333
5,07:56:16,12,23.5644283333,87.2829466667
6,07:56:26,13,23.5644266667,87.2829416667
13,07:56:45,14,23.5643866667,87.2828416667
8,07:56:59,15,23.564385,87.2828416667
4,07:57:21,16,23.5643466667,87.2827916667
6,07:58:23,17,23.5645683333,87.2823916667
6,07:58:30,18,23.5645683333,87.2823933333
2,08:03:29,19,23.5736583333,87.2765166667
6,08:05:08,20,23.5796233333,87.273455
2,08:06:37,21,23.5823333333,87.27601
2,08:06:42,22,23.5823333333,87.27601
2,08:06:47,23,23.5823333333,87.27601
8,08:06:50,24,23.5823333333,87.2760116667
15,08:06:59,25,23.5823333333,87.27601
21,08:07:17,26,23.5823333333,87.27601
7,08:07:39,27,23.5823333333,87.2760116667
9,08:07:47,28,23.5823333333,87.27601
21,08:07:57,29,23.5823333333,87.2760116667
10,08:09:26,30,23.5802666667,87.2794583333
7,08:13:14,31,23.588795,87.28196
3,08:13:23,32,23.588795,87.28196
6,08:15:27,33,23.5863383333,87.28756
5,08:19:27,34,23.57508,87.2914866667
23,08:21:47,35,23.57411,87.2992366667
31,08:22:11,36,23.5741116667,87.2992366667
8,08:22:43,37,23.5741133333,87.2992366667
9,08:22:52,38,23.5741116667,87.2992366667
33,08:23:02,39,23.5741133333,87.2992366667
8,08:23:36,40,23.5741116667,87.2992366667
91,08:23:45,41,23.5741133333,87.2992366667
42,08:25:17,42,23.5741133333,87.2992383333
23,08:27:43,43,23.5721983333,87.3025816667
4,08:28:38,44,23.570955,87.3025433333
3,08:32:57,45,23.5600366667,87.2988133333
7,08:33:01,46,23.5600366667,87.2988116667
7,08:39:14,47,23.5467116667,87.3099083333
195,08:39:22,48,23.54671,87.3099083333
7,08:42:38,49,23.54671,87.3099066667
4,08:44:11,50,23.5439483333,87.30792
5,08:47:14,51,23.5404916667,87.2992
28,08:50:30,52,23.53574,87.2974933333
27,08:50:59,53,23.5357416667,87.2974933333
22,08:51:28,54,23.5357433333,87.2975
29,08:51:51,55,23.5357433333,87.2974983333
5,08:56:20,56,23.5271466667,87.3111116667
2,08:56:27,57,23.527155,87.31111
2,08:56:32,58,23.5271516667,87.31111
7,08:56:35,59,23.52715,87.31111
6,08:56:48,60,23.52715,87.31111
27,08:56:55,61,23.52715,87.3111083333
19,09:05:39,62,23.494685,87.3171533333
72,09:05:59,63,23.494685,87.3171516667
5,09:07:29,64,23.4946533333,87.3171766667
16,09:07:35,65,23.4946516667,87.3171766667
28,09:07:52,66,23.49465,87.3171766667
10,09:08:21,67,23.49465,87.317175
44,09:08:32,68,23.4946483333,87.317175
4,09:09:17,69,23.4946466667,87.317175
38,09:09:22,70,23.4946466667,87.3171733333
39,09:10:01,71,23.494645,87.3171733333
4,09:10:42,72,23.4946433333,87.3171716667
18,09:10:47,73,23.4946416667,87.3171716667
2,09:11:06,74,23.4946416667,87.31717
2,09:11:37,75,23.4945333333,87.317105
5,09:11:47,76,23.49452,87.3170966667
2,09:12:10,77,23.494375,87.317085
7,09:12:22,78,23.4943366667,87.3170816667
2,09:12:30,79,23.4943383333,87.3170816667
64,09:12:33,80,23.4943366667,87.3170816667
12,09:13:38,81,23.494335,87.3170816667
5,09:13:51,82,23.494335,87.31708
11,09:14:03,83,23.4943183333,87.3170866667
4,09:14:19,84,23.4943016667,87.3170866667
51,09:14:24,85,23.4943016667,87.317085
20,09:15:16,86,23.4943016667,87.3170833333
2,09:15:38,87,23.4943,87.317085
3,09:15:52,88,23.4942683333,87.3170683333
