Latitude,Longitude,Wait time,Trail_no
23.5357016667,87.2974466667,99,april4th3
23.5355716667,87.2973033333,99,april4th5
23.5357566667,87.2976266667,63,april4th7
23.5357333333,87.2976016667,49,april5th1
23.535715,87.29748,92,april5th3
23.5356516667,87.29794,56,april5th5
23.53567,87.2975066667,94,april5th7
23.5358166667,87.2977983333,368,april5th9
23.53576,87.2976916667,61,june035
23.5357433333,87.2974983333,29,june041
23.5356016667,87.2974066667,77,june043
23.535475,87.297235,27,june045
23.53569,87.2974933333,110,june047
23.5357383333,87.29759,40,june049
23.535715,87.2978666667,99,june051
23.53561,87.2973733333,132,june053
23.53573,87.2976366667,54,june055
23.535765,87.297795,205,june057
23.535785,87.2977233333,220,june3
23.5356933333,87.2974983333,82,june5
23.53577,87.2976033333,102,june7
