Latitude,Longitude,WaitTime,Trailno
23.58721,87.2834783333,6,april4th7
23.58717,87.283505,3,april5th7
23.587345,87.2834133333,7,april5th9
23.5871416667,87.2834966667,5,june049
23.5871066667,87.283455,2,june055
23.59053,87.28466,10,april4th3
23.5906133333,87.2845433333,12,april4th7
23.5905516667,87.2846166667,15,april5th1
23.5904483333,87.28474,20,april5th7
23.5905683333,87.2845766667,4,june043
23.59064,87.284535,3,june049
23.5906283333,87.2845116667,2,june051
23.590715,87.2844366667,4,june053
23.59069,87.2844766667,16,june055
23.5905433333,87.2845766667,5,june5
23.5750433333,87.2915216667,7,april4th3
23.575055,87.2914783333,4,april4th7
23.5750433333,87.2915133333,3,april5th1
23.57508,87.2914866667,5,june041
23.5750266667,87.2914383333,9,june043
23.57495,87.2914383333,8,june051
23.5750933333,87.2914566667,4,june5
23.574835,87.291475,2,june7
23.574185,87.2956833333,5,april4th3
23.5742233333,87.29564,3,april4th5
23.5741983333,87.29563,8,april4th7
23.5741566667,87.2957183333,2,april5th9
23.5741716667,87.2956583333,2,june047
23.55665,87.2987983333,2,april4th3
23.5575933333,87.2987733333,2,april5th7
23.5575966667,87.2987566667,9,june043
23.5574083333,87.2987466667,3,june045
23.5574216667,87.2987516667,8,june3
23.5487183333,87.3010016667,9,april4th3
23.548705,87.30088,6,april5th3
23.5487133333,87.3008766667,4,april5th5
23.548695,87.3008733333,6,april5th7
23.5483566667,87.3014766667,21,april5th9
23.5487183333,87.3008916667,9,june047
23.548385,87.3015433333,16,june055
23.543365,87.3045983333,4,april4th3
23.5433966667,87.3045466667,15,april4th5
23.5434016667,87.3045883333,8,april4th7
23.5433633333,87.3046516667,4,april5th3
23.5433583333,87.304565,7,april5th5
23.5433316667,87.3046316667,9,april5th7
23.5433383333,87.3046133333,14,june047
23.5433633333,87.3045983333,8,june051
23.5433033333,87.3047216667,15,june055
23.5433783333,87.3045966667,5,june3
23.5433816667,87.3012583333,4,april4th3
23.54316,87.301095,6,april4th5
23.543295,87.3011916667,6,june043
23.542675,87.30071,2,june047
23.5433616667,87.301215,2,june049
23.5433283333,87.301185,3,june057
23.5405433333,87.2993316667,3,april4th3
23.540525,87.2992816667,2,april4th7
23.5404416667,87.2993516667,6,april5th3
23.5404916667,87.2992,5,june041
23.5407,87.2994066667,3,june043
23.5405383333,87.29922,6,june047
23.5404116667,87.2991983333,6,june051
23.5404416667,87.2993,5,june055
23.57867,87.282705,4,april4th7
23.5786016667,87.28271,6,april5th3
23.578585,87.28268,4,april5th7
23.578645,87.2826583333,5,june047
23.57867,87.2827133333,2,june051
23.5786533333,87.2827166667,3,june053
23.5681316667,87.2988916667,7,april4th5
23.568185,87.2988883333,17,april5th3
23.5681716667,87.2988866667,4,june035
23.5681516667,87.2988783333,8,june049
23.56814,87.29886,4,june051
23.568175,87.298895,3,june055
23.5680783333,87.2988233333,4,june5
23.5424933333,87.3069683333,20,april4th5
23.5424533333,87.3069716667,10,april4th7
23.54243,87.3069483333,11,april5th1
23.5424566667,87.3070483333,18,april5th3
23.5424033333,87.306935,5,april5th7
23.54245,87.3069483333,12,june043
23.5424683333,87.3069116667,3,june047
23.542455,87.30692,2,june049
23.5424183333,87.3069433333,11,june053
23.538875,87.2982166667,7,april4th5
23.53887,87.2982083333,8,april4th7
23.5388316667,87.2981916667,6,april5th5
23.538795,87.2981566667,4,june043
23.5380833333,87.2976916667,9,june045
23.53887,87.2982466667,2,june055
23.5388466667,87.29819,3,june3
23.52724,87.3111716667,61,april4th5
23.5271966667,87.3111583333,42,april4th7
23.5271916667,87.311195,40,april5th3
23.5271816667,87.3111583333,3,june045
23.5271983333,87.3111366667,43,june053
23.527125,87.311175,5,june057
23.5271933333,87.3111366667,7,june3
23.5765366667,87.27486,3,april5th3
23.5764433333,87.2749183333,2,april5th7
23.5764183333,87.2749,4,june047
23.5765266667,87.27485,3,june053
23.5765183333,87.27488,2,june057
23.5763283333,87.2749833333,2,june3
23.5764866667,87.274845,2,june5
23.5827183333,87.2833566667,3,april5th7
23.5827283333,87.2833033333,10,june049
23.58349,87.2834683333,2,june053
23.5827383333,87.2833583333,13,june055
23.5829416667,87.2834516667,4,june057
23.5827516667,87.28331,5,june5
23.582745,87.2832883333,7,june7
