Latitude,Longitude,WaitTime,Trailno
23.56436,87.2829716667,277,june7
23.572065,87.2783916667,17,june7
23.5736433333,87.276505,13,june7
23.5795966667,87.2734483333,40,june7
23.5823133333,87.275995,125,june7
23.5802666667,87.279475,13,june7
23.5845666667,87.2834683333,15,june051
23.58709,87.283505,15,june055
23.5888266667,87.2819983333,57,june7
23.5907066667,87.28448,21,june5
23.5863733333,87.2875816667,11,june5
23.580105,87.2874733333,25,june7
23.57929,87.2915633333,22,june7
23.5749883333,87.2914833333,19,june7
23.5741483333,87.29571,14,june047
23.574085,87.2992433333,221,june7
23.57213,87.302575,185,june7
23.559975,87.29879,76,june7
23.5574866667,87.29876,12,june3
23.552105,87.2969433333,13,june051
23.5484833333,87.3013583333,77,june055
23.5481666667,87.3076166667,10,june3
23.54671,87.3099083333,195,june5
23.5445966667,87.3084566667,116,june5
23.543395,87.3045416667,28,june3
23.54464,87.3020666667,40,june7
23.5433316667,87.30119,40,june057
23.541795,87.3001183333,9,june055
23.54054,87.299265,20,june055
23.5375833333,87.2968266667,28,june7
23.5358166667,87.2977983333,368,june7
23.5281916667,87.3111633333,40,june7
23.5069816667,87.3097866667,8,april4th3
23.5036266667,87.3077133333,55,june7
23.5002816667,87.3059883333,20,june7
23.4964633333,87.3135916667,13,april5th7
23.4946233333,87.3171816667,286,june7
23.5672433333,87.2868066667,6,april5th7
23.5720183333,87.2853666667,12,june055
23.5786716667,87.2826966667,14,june053
23.57978,87.283385,7,june3
23.574105,87.29154,12,june043
23.568125,87.2988616667,32,june5
23.5512216667,87.29662,29,april5th5
23.548245,87.303785,11,june053
23.54246,87.3069483333,26,june053
23.538615,87.2980533333,22,june3
23.5272033333,87.31117,57,june7
23.581025,87.27805,13,april5th5
23.562525,87.2987883333,5,june057
23.5193133333,87.3112383333,10,april5th7
23.5888866667,87.2862583333,7,june055
23.5333616667,87.3065366667,43,june053
23.521005,87.3114366667,5,april5th1
23.5764966667,87.2748716667,26,june5
23.5761066667,87.291505,11,april5th3
23.5353716667,87.2985283333,47,april5th3
23.5692183333,87.2868566667,11,april5th9
23.582745,87.2833266667,23,june7
23.583215,87.2875183333,18,june055
23.5741866667,87.302555,5,june047
23.5678316667,87.30233,9,june055
23.5847033333,87.2875033333,6,june045
23.5774333333,87.291545,5,april5th9
23.5107283333,87.310635,8,june043
23.5549566667,87.298755,42,june053
23.570955,87.3025433333,4,june053
23.5796816667,87.2903366667,3,june043
23.536065,87.2958366667,12,june5
23.58056,87.2740133333,5,june057
23.5722483333,87.2824266667,6,june051
23.5700366667,87.3025333333,3,june051
23.5481766667,87.306495,6,june053
23.5660033333,87.28482,12,june055
23.5648316667,87.2988183333,6,june5
23.53449,87.301855,2,june5
23.5427283333,87.3056733333,2,june7
