Latitude,Longitude,Wait time,Trail_no
23.5863733333,87.2875816667,11,april4th3
23.586325,87.2875866667,5,april4th5
23.5862733333,87.2875333333,14,april4th7
23.5863666667,87.2875966667,3,april5th1
23.5863433333,87.2875983333,6,april5th3
23.586375,87.2875583333,7,april5th5
23.5863816667,87.287585,6,april5th7
23.5869533333,87.2879033333,24,april5th9
23.5863383333,87.28756,6,june041
23.5863416667,87.2875783333,7,june043
23.5863216667,87.28756,6,june045
23.58634,87.2875116667,2,june047
23.5863633333,87.2875816667,7,june049
23.5864316667,87.2875766667,6,june051
23.58641,87.287575,11,june053
23.5869416667,87.2878916667,11,june055
23.5864116667,87.287585,3,june057
23.586395,87.28756,6,june5
