Latitude,Longitude,WaitTime,Trailno
23.56436,87.2829716667,277,june047
23.5795966667,87.2734483333,40,april5th5
23.5823133333,87.275995,125,april5th9
23.5888266667,87.2819983333,57,april4th5
23.5863733333,87.2875816667,11,april4th3
23.580105,87.2874733333,25,june7
23.574085,87.2992433333,221,april5th7
23.57213,87.302575,185,june3
23.559975,87.29879,76,june045
23.5358166667,87.2977983333,368,april5th9
23.5281916667,87.3111633333,40,april4th5
23.5002816667,87.3059883333,20,april5th7
23.4946233333,87.3171816667,286,april4th5
