Latitude,Longitude,Wait time,Trail_no
23.5643683333,87.2829316667,187,april4th3
23.5644,87.2829583333,170,april4th5
23.56437,87.2829116667,155,april4th7
23.5644116667,87.282915,148,april5th1
23.56432,87.2829383333,135,april5th3
23.5643516667,87.2830183333,163,april5th5
23.564325,87.2830066667,286,april5th7
23.564385,87.2829333333,127,april5th9
23.5643683333,87.28298,122,june033
23.5643683333,87.282965,181,june035
23.5644533333,87.2829766667,78,june041
23.564395,87.2829483333,186,june043
23.5643683333,87.283005,272,june045
23.56436,87.2829716667,277,june047
23.5643333333,87.2830716667,169,june049
23.56442,87.2828916667,48,june051
23.5643316667,87.2830066667,253,june053
23.56435,87.283,265,june055
23.5643733333,87.282955,84,june057
23.564325,87.2829533333,239,june3
23.5643716667,87.2829216667,214,june5
23.5643283333,87.2830016667,256,june7
23.5644983333,87.2823533333,5,april4th3
23.5645566667,87.2823666667,14,april4th5
23.5645066667,87.2823533333,43,june033
23.56451,87.2823366667,15,june035
23.5720516667,87.2783266667,10,april4th3
23.572095,87.2784183333,5,april4th5
23.572085,87.2784183333,6,april4th7
23.5720666667,87.27841,13,april5th3
23.5720933333,87.2783883333,4,april5th5
23.572055,87.27842,3,april5th7
23.5720833333,87.2783883333,4,april5th9
23.5720866667,87.2784266667,4,june033
23.5721116667,87.2783983333,2,june047
23.572085,87.278385,7,june051
23.572065,87.2783916667,17,june053
23.5720666667,87.2783716667,3,june055
23.5720833333,87.2783583333,2,june5
23.5721166667,87.2784266667,6,june7
23.573625,87.276525,11,april4th3
23.5736783333,87.276525,5,april4th5
23.5736516667,87.2765066667,5,april4th7
23.5735966667,87.27654,16,april5th1
23.5736433333,87.276505,13,april5th3
23.5736166667,87.2765266667,7,april5th7
23.5736583333,87.2765166667,2,june041
23.5736833333,87.2765066667,3,june045
23.5736183333,87.276495,10,june047
23.573615,87.276525,6,june053
23.5736266667,87.276505,14,june055
23.5736433333,87.276505,7,june057
23.5736866667,87.27647,15,june3
23.5736683333,87.2764583333,12,june5
23.5736683333,87.2765016667,6,june7
23.5796016667,87.27349,7,april4th3
23.5796383333,87.2734783333,23,april4th5
23.5796333333,87.2734633333,12,april4th7
23.57958,87.2734966667,28,april5th1
23.5795816667,87.2734733333,15,april5th3
23.5795966667,87.2734483333,40,april5th5
23.5796116667,87.2734883333,13,april5th7
23.5796283333,87.2734466667,13,april5th9
23.5796233333,87.273455,6,june041
23.5796066667,87.2734383333,23,june043
23.5795833333,87.27346,9,june045
23.5795883333,87.273435,12,june047
23.5795983333,87.27348,3,june049
23.579625,87.27345,25,june051
23.5796066667,87.2734416667,28,june055
23.5796233333,87.2734766667,2,june057
23.5796533333,87.2734966667,9,june3
23.5795766667,87.27341,13,june5
23.5796166667,87.2734783333,8,june7
23.5822866667,87.2760383333,58,april4th3
23.58232,87.2760183333,35,april4th5
23.5823183333,87.2759983333,23,april4th7
23.5822933333,87.27603,41,april5th1
23.5822766667,87.27603,58,april5th3
23.5822766667,87.27601,26,april5th5
23.58232,87.2760033333,25,april5th7
23.5823133333,87.275995,125,april5th9
23.58234,87.2760183333,49,june033
23.5823333333,87.27601,21,june041
23.5823283333,87.2760133333,86,june043
23.5823166667,87.2759783333,123,june045
23.5823266667,87.27597,29,june047
23.5823183333,87.2760316667,100,june049
23.5823183333,87.2759883333,12,june051
23.5822966667,87.2760183333,27,june053
23.5822983333,87.2760366667,31,june055
23.582325,87.2760183333,15,june057
23.5823016667,87.2760316667,82,june3
23.5823116667,87.27599,47,june5
23.5822933333,87.2760316667,15,june7
23.5802816667,87.2794633333,12,april4th3
23.58024,87.2794433333,5,april5th3
23.5802666667,87.279475,13,april5th5
23.5802616667,87.2794383333,9,april5th7
