Latitude,Longitude,Wait time,Trail_no
23.5274733333,87.3112016667,21,april4th3
23.52724,87.3111716667,61,april4th5
23.5271966667,87.3111583333,42,april4th7
23.527225,87.3111683333,17,april5th1
23.5271916667,87.311195,40,april5th3
23.5272433333,87.311155,5,april5th5
23.527185,87.3111733333,35,april5th9
23.5273716667,87.3111516667,48,june033
23.52715,87.3111083333,27,june041
23.5273133333,87.3111333333,68,june043
23.5271816667,87.3111583333,3,june045
23.5271983333,87.3111366667,43,june053
23.527125,87.311175,5,june057
23.5271933333,87.3111366667,7,june3
23.5272033333,87.31117,57,june7
