Waiting time,BusStop Number,Latitude,Longitude
277,16:11:08,1,23.56436,87.2829716667
37,16:15:45,2,23.56436,87.28297
51,16:16:23,3,23.5643616667,87.28297
60,16:17:15,4,23.5643633333,87.28297
71,16:18:16,5,23.564365,87.28297
93,16:19:41,6,23.564375,87.2829216667
68,16:21:15,7,23.5643733333,87.2829216667
42,16:22:24,8,23.5643716667,87.2829216667
29,16:23:07,9,23.56437,87.2829216667
85,16:23:39,10,23.5643716667,87.28292
16,16:25:05,11,23.5643733333,87.28292
58,16:25:22,12,23.5643733333,87.2829183333
42,16:26:21,13,23.564375,87.2829183333
16,16:27:04,14,23.564375,87.2829166667
89,16:27:21,15,23.5643766667,87.2829166667
155,16:28:51,16,23.5643766667,87.282915
10,16:31:35,17,23.564385,87.282875
6,16:32:38,18,23.564395,87.2825683333
3,16:32:45,19,23.5643966667,87.2825683333
7,16:33:23,20,23.564555,87.2823066667
2,16:33:31,21,23.5645566667,87.2823066667
2,16:33:37,22,23.5645633333,87.2823066667
26,16:33:40,23,23.564565,87.2823066667
18,16:34:07,24,23.5645633333,87.2823066667
2,16:37:12,25,23.5721116667,87.2783983333
10,16:38:15,26,23.5736183333,87.276495
4,16:39:03,27,23.5764183333,87.2749
12,16:39:53,28,23.5795883333,87.273435
3,16:40:06,29,23.5795883333,87.2734366667
4,16:40:48,30,23.5813216667,87.2747083333
12,16:41:26,31,23.5823266667,87.2759683333
4,16:41:39,32,23.5823266667,87.2759666667
13,16:41:44,33,23.5823266667,87.2759683333
29,16:41:58,34,23.5823266667,87.27597
11,16:43:28,35,23.580295,87.2793816667
5,16:44:30,36,23.578645,87.2826583333
4,16:47:57,37,23.5887533333,87.2818966667
2,16:50:03,38,23.58634,87.2875116667
4,16:51:38,39,23.5800433333,87.287435
2,16:51:43,40,23.580045,87.2874366667
5,16:51:46,41,23.580045,87.287435
2,16:54:47,42,23.5741716667,87.2956583333
138,16:55:40,43,23.5741166667,87.2991966667
5,16:59:04,44,23.5741866667,87.302555
63,16:59:45,45,23.5722566667,87.3025333333
2,17:00:58,46,23.5721583333,87.3025183333
2,17:01:04,47,23.5721416667,87.3025166667
16,17:01:07,48,23.5721416667,87.3025183333
9,17:04:33,49,23.5600066667,87.2987333333
6,17:06:40,50,23.5520666667,87.2968066667
9,17:08:09,51,23.5487183333,87.3008916667
4,17:10:14,52,23.5481883333,87.3076466667
71,17:11:49,53,23.54665,87.3098216667
32,17:13:01,54,23.54665,87.30982
45,17:13:34,55,23.5466483333,87.30982
5,17:14:21,56,23.5466466667,87.3098183333
3,17:15:38,57,23.544345,87.3082033333
3,17:16:37,58,23.5424683333,87.3069116667
14,17:17:39,59,23.5433383333,87.3046133333
2,17:19:34,60,23.542675,87.30071
6,17:20:30,61,23.5405383333,87.29922
13,17:22:19,62,23.537575,87.29666
110,17:23:59,63,23.53569,87.2974933333
4,17:25:50,64,23.53569,87.297495
4,17:26:17,65,23.535755,87.2976666667
13,17:26:22,66,23.5357566667,87.2976666667
34,17:26:36,67,23.5357566667,87.2976683333
10,17:27:11,68,23.5357566667,87.29767
27,17:27:22,69,23.5357583333,87.29767
13,17:27:50,70,23.5357583333,87.2976716667
2,17:28:08,71,23.5357666667,87.2976933333
4,17:28:11,72,23.5357683333,87.2976933333
7,17:28:21,73,23.5357766667,87.297715
9,17:28:42,74,23.535785,87.2977716667
9,17:30:49,75,23.5333866667,87.3064933333
16,17:32:19,76,23.528225,87.311165
7,17:32:44,77,23.5281883333,87.311155
7,17:38:05,78,23.5038366667,87.3077766667
7,17:39:07,79,23.500475,87.3059166667
142,17:42:18,80,23.4946266667,87.3171866667
5,17:44:52,81,23.4945916667,87.3171866667
6,17:44:58,82,23.49459,87.3171866667
3,17:45:05,83,23.4945916667,87.3171866667
59,17:45:09,84,23.49459,87.3171866667
26,17:46:11,85,23.4945883333,87.317185
32,17:46:38,86,23.4945866667,87.317185
2,17:47:11,87,23.494585,87.317185
4,17:47:24,88,23.4945683333,87.317175
8,17:47:29,89,23.4945683333,87.3171766667
4,17:47:38,90,23.4945666667,87.3171766667
2,17:47:51,91,23.4945316667,87.3171566667
24,17:47:54,92,23.4945316667,87.317155
10,17:48:19,93,23.4945316667,87.3171533333
5,17:49:09,94,23.4944183333,87.3171366667
5,17:49:22,95,23.4943983333,87.3171333333
5,17:49:41,96,23.4943533333,87.3171316667
