Waiting time,BusStop Number,Latitude,Longitude
256,18:42:36,1,23.5643283333,87.2830016667
8,18:46:52,2,23.5643283333,87.2830033333
89,18:47:01,3,23.56433,87.2830033333
23,18:48:31,4,23.5643316667,87.2830016667
51,18:48:55,5,23.5643333333,87.2830016667
38,18:49:47,6,23.564335,87.2830016667
20,18:50:26,7,23.5643366667,87.2830016667
3,18:50:47,8,23.5643366667,87.283
3,18:51:03,9,23.5643566667,87.2829416667
15,18:51:08,10,23.5643583333,87.28294
3,18:51:24,11,23.5643583333,87.2829383333
38,18:51:28,12,23.56436,87.2829383333
22,18:52:07,13,23.5643616667,87.2829383333
39,18:52:30,14,23.5643616667,87.2829366667
21,18:53:10,15,23.5643633333,87.2829366667
60,18:53:32,16,23.564365,87.2829366667
15,18:54:33,17,23.5643666667,87.2829366667
16,18:54:49,18,23.5643666667,87.282935
84,18:55:06,19,23.5643666667,87.2829366667
6,18:56:31,20,23.5643666667,87.282935
71,18:56:38,21,23.5643683333,87.282935
26,18:57:50,22,23.56437,87.282935
45,18:58:17,23,23.5643683333,87.282935
16,18:59:03,24,23.5643683333,87.2829333333
32,18:59:20,25,23.56437,87.2829333333
50,18:59:53,26,23.56437,87.2829316667
5,19:00:44,27,23.5643716667,87.2829316667
46,19:00:50,28,23.5643716667,87.28293
19,19:01:37,29,23.5643716667,87.2829283333
89,19:01:57,30,23.5643733333,87.2829283333
18,19:03:27,31,23.5643733333,87.2829266667
15,19:03:46,32,23.564375,87.2829266667
77,19:04:02,33,23.5643766667,87.2829266667
8,19:05:20,34,23.5643783333,87.2829266667
3,19:05:29,35,23.5643783333,87.282925
3,19:05:41,36,23.5643733333,87.2828766667
2,19:06:31,37,23.5644116667,87.2824783333
10,19:06:40,38,23.56443,87.2824616667
3,19:07:26,39,23.564625,87.2825
6,19:11:59,40,23.5721166667,87.2784266667
6,19:13:08,41,23.5736683333,87.2765016667
8,19:15:07,42,23.5796166667,87.2734783333
4,19:15:16,43,23.5796166667,87.27348
2,19:15:21,44,23.5796166667,87.2734783333
15,19:16:31,45,23.5822933333,87.2760316667
4,19:16:47,46,23.5822933333,87.2760333333
3,19:16:52,47,23.5822933333,87.2760316667
3,19:16:56,48,23.5822933333,87.2760333333
7,19:18:02,49,23.5802783333,87.2794683333
7,19:20:19,50,23.582745,87.2832883333
2,19:22:14,51,23.5887683333,87.2819916667
25,19:25:57,52,23.580105,87.2874733333
2,19:27:28,53,23.57935,87.2915616667
2,19:27:31,54,23.57935,87.29156
2,19:28:47,55,23.574835,87.291475
2,19:28:53,56,23.5748366667,87.2914783333
19,19:30:46,57,23.5741033333,87.2992183333
32,19:32:45,58,23.5721366667,87.302585
3,19:33:18,59,23.5721383333,87.302585
29,19:33:22,60,23.5721366667,87.302585
12,19:33:52,61,23.5721383333,87.302585
30,19:34:05,62,23.5721383333,87.3025833333
3,19:39:00,63,23.5599866667,87.29877
3,19:39:04,64,23.5599883333,87.29877
2,19:47:28,65,23.5427283333,87.3056733333
4,19:48:43,66,23.5446683333,87.30212
2,19:53:14,67,23.536055,87.29581
4,19:53:19,68,23.536045,87.295805
5,19:54:17,69,23.535735,87.2975216667
5,19:54:25,70,23.5357366667,87.2975266667
10,19:54:32,71,23.5357366667,87.29753
3,19:54:43,72,23.5357383333,87.29753
42,19:54:47,73,23.5357383333,87.2975316667
4,19:55:30,74,23.5357366667,87.2975316667
18,19:55:50,75,23.53577,87.2976016667
102,19:56:09,76,23.53577,87.2976033333
2,19:57:52,77,23.5357733333,87.2976083333
24,19:57:56,78,23.5357766667,87.2976133333
4,19:58:21,79,23.535775,87.2976133333
3,19:58:27,80,23.5357766667,87.2976133333
16,19:58:31,81,23.5357766667,87.297615
3,19:59:02,82,23.5357916667,87.2977266667
4,19:59:14,83,23.5357883333,87.2977666667
25,19:59:19,84,23.5357883333,87.2977683333
6,20:00:13,85,23.5355733333,87.2982433333
4,20:03:36,86,23.5281866667,87.311195
4,20:03:43,87,23.5281866667,87.311195
57,20:04:20,88,23.5272033333,87.31117
2,20:09:49,89,23.50361,87.3076916667
6,20:10:59,90,23.5003116667,87.305975
3,20:11:07,91,23.5003116667,87.305975
27,20:14:04,92,23.4946116667,87.3171733333
8,20:14:32,93,23.49461,87.3171733333
95,20:14:41,94,23.49461,87.3171716667
62,20:16:17,95,23.49461,87.31717
19,20:17:20,96,23.4946083333,87.31717
88,20:17:40,97,23.4946083333,87.3171716667
82,20:19:09,98,23.4946066667,87.3171716667
6,20:20:50,99,23.4945416667,87.3171783333
23,20:21:04,100,23.494535,87.3171783333
5,20:21:28,101,23.494535,87.3171766667
31,20:21:34,102,23.494535,87.3171783333
7,20:22:06,103,23.494535,87.3171766667
3,20:22:14,104,23.4945333333,87.3171766667
2,20:22:38,105,23.4945066667,87.317155
7,20:22:41,106,23.4945066667,87.3171566667
7,20:22:50,107,23.494505,87.317155
23,20:22:58,108,23.494505,87.3171533333
8,20:23:37,109,23.494435,87.3171033333
2,20:23:46,110,23.4944333333,87.3171033333
10,20:23:49,111,23.4944316667,87.3171033333
3,20:24:20,112,23.4943366667,87.31711
20,20:24:28,113,23.494335,87.31711
2,20:25:07,114,23.4942416667,87.3171016667
15,20:25:11,115,23.49424,87.3171033333
10,20:25:27,116,23.4942383333,87.3171033333
