Latitude,Longitude,WaitTime,Trailno
23.5720516667,87.2783266667,10,april4th3
23.572095,87.2784183333,5,april4th5
23.572085,87.2784183333,6,april4th7
23.5720666667,87.27841,13,april5th3
23.5720933333,87.2783883333,4,april5th5
23.572055,87.27842,3,april5th7
23.5720833333,87.2783883333,4,april5th9
23.5720866667,87.2784266667,4,june033
23.5721116667,87.2783983333,2,june047
23.572085,87.278385,7,june051
23.5720666667,87.2783716667,3,june055
23.5720833333,87.2783583333,2,june5
23.5721166667,87.2784266667,6,june7
23.573625,87.276525,11,april4th3
23.5736783333,87.276525,5,april4th5
23.5736516667,87.2765066667,5,april4th7
23.5735966667,87.27654,16,april5th1
23.5736166667,87.2765266667,7,april5th7
23.5736583333,87.2765166667,2,june041
23.5736833333,87.2765066667,3,june045
23.5736183333,87.276495,10,june047
23.573615,87.276525,6,june053
23.5736266667,87.276505,14,june055
23.5736433333,87.276505,7,june057
23.5736866667,87.27647,15,june3
23.5736683333,87.2764583333,12,june5
23.5736683333,87.2765016667,6,june7
23.5802816667,87.2794633333,12,april4th3
23.58024,87.2794433333,5,april5th3
23.5802616667,87.2794383333,9,april5th7
23.5802833333,87.2794166667,10,april5th9
23.5802666667,87.2794583333,10,june041
23.580275,87.27939,11,june045
23.580295,87.2793816667,11,june047
23.5803166667,87.2794066667,5,june049
23.5802866667,87.2793966667,14,june051
23.5802416667,87.2794866667,11,june055
23.5802766667,87.279485,3,june057
23.58026,87.279445,7,june5
23.5802783333,87.2794683333,7,june7
23.57929,87.2915616667,7,april4th3
23.57933,87.2915483333,22,april4th5
23.5792916667,87.2915333333,3,april4th7
23.5792833333,87.2915466667,9,april5th1
23.579305,87.2915383333,5,april5th5
23.5793216667,87.2915516667,7,april5th9
23.579285,87.291565,18,june033
23.57932,87.29153,11,june043
23.57934,87.2915333333,3,june045
23.5792766667,87.2915516667,5,june051
23.5793016667,87.291555,3,june053
23.57929,87.291555,9,june055
23.5792883333,87.2915116667,6,june5
23.57935,87.2915616667,2,june7
23.54668,87.3099633333,104,april4th3
23.5466433333,87.3098666667,49,april4th7
23.546545,87.309845,33,april5th1
23.5465916667,87.3099133333,84,april5th3
23.546575,87.3098366667,28,april5th7
23.5465383333,87.30979,110,june033
23.5466233333,87.3098733333,137,june043
23.5467666667,87.3099016667,8,june045
23.54665,87.3098216667,71,june047
23.54651,87.3098216667,90,june051
23.54647,87.3097833333,35,june053
23.546565,87.3098916667,10,june055
23.5464916667,87.3097783333,47,june3
23.5465583333,87.3098033333,99,june5
23.5445133333,87.30843,30,april4th3
23.54451,87.3083816667,18,april4th5
23.544425,87.30834,60,april5th5
23.5444383333,87.3083616667,9,april5th7
23.5444066667,87.3082983333,3,june043
23.544345,87.3082033333,3,june047
23.544425,87.30831,3,june049
23.5443116667,87.3082716667,12,june051
23.54459,87.3084233333,18,june053
23.5442183333,87.3082,14,june3
23.54432,87.3082416667,5,june5
23.544625,87.3021216667,3,april4th3
23.54459,87.3020366667,16,april4th5
23.544615,87.30206,4,april4th7
23.5446316667,87.3020916667,15,april5th1
23.54462,87.3021383333,7,april5th3
23.5445966667,87.3020483333,9,april5th5
23.544625,87.30205,3,april5th9
23.5445966667,87.3025616667,7,june045
23.5446233333,87.3020716667,5,june049
23.54465,87.3021183333,4,june053
23.54457,87.3021383333,4,june055
23.5446333333,87.3020966667,2,june3
23.5446683333,87.30212,4,june7
23.5417966667,87.300135,7,april4th3
23.5417783333,87.3001033333,3,april4th7
23.5417716667,87.30012,2,april5th1
23.541745,87.3002066667,9,april5th3
23.5417333333,87.3001016667,6,april5th5
23.5417433333,87.30012,5,april5th7
23.5417266667,87.3000916667,2,june043
23.541765,87.30013,3,june045
23.541785,87.300125,2,june049
23.541695,87.30005,2,june051
23.541725,87.3001133333,3,june055
23.5375666667,87.2967316667,17,april4th5
23.5375566667,87.2967616667,6,april4th7
23.5374866667,87.2967083333,9,april5th1
23.5375333333,87.2968416667,13,april5th3
23.5375266667,87.2967266667,12,april5th5
23.537585,87.2967866667,7,june033
23.53751,87.29674,12,june043
23.537575,87.29666,13,june047
23.537575,87.2967766667,19,june049
23.5375883333,87.2967866667,15,june051
23.537495,87.2967216667,12,june053
23.5375033333,87.2967433333,13,june055
23.5375316667,87.2967266667,2,june3
23.53757,87.2967183333,6,june5
23.5274733333,87.3112016667,21,april4th3
23.52724,87.3111716667,61,april4th5
23.5271966667,87.3111583333,42,april4th7
23.527225,87.3111683333,17,april5th1
23.5271916667,87.311195,40,april5th3
23.5272433333,87.311155,5,april5th5
23.527185,87.3111733333,35,april5th9
23.5273716667,87.3111516667,48,june033
23.52715,87.3111083333,27,june041
23.5273133333,87.3111333333,68,june043
23.5271816667,87.3111583333,3,june045
23.5271983333,87.3111366667,43,june053
23.527125,87.311175,5,june057
23.5271933333,87.3111366667,7,june3
23.5036316667,87.3077566667,5,april4th3
23.5036366667,87.3077383333,9,april4th7
23.503585,87.3077683333,14,april5th3
23.503555,87.3077,31,april5th7
23.5036133333,87.30771,11,april5th9
23.5035833333,87.307695,16,june043
23.503705,87.307795,11,june045
23.5038366667,87.3077766667,7,june047
23.5036833333,87.3077916667,2,june055
23.5036616667,87.3077583333,4,june057
23.5037133333,87.3078083333,2,june3
23.50361,87.3076916667,2,june7
