Latitude,Longitude,Wait time,Trail_no
23.5741116667,87.29923,32,april4th3
23.57413,87.29926,69,april4th5
23.5740633333,87.299495,7,april4th7
23.5740983333,87.2992383333,161,april5th1
23.5740533333,87.29923,103,april5th3
23.574105,87.299195,51,april5th5
23.574085,87.2992433333,221,april5th7
23.5740866667,87.2992333333,26,april5th9
23.57406,87.2992483333,70,june035
23.5741133333,87.2992366667,91,june041
23.5740916667,87.2992,98,june043
23.5741016667,87.2992033333,110,june045
23.5741166667,87.2991966667,138,june047
23.574115,87.2991966667,56,june051
23.5741133333,87.2992116667,126,june053
23.574105,87.2992283333,15,june055
23.5741183333,87.299215,19,june057
23.5741016667,87.29923,7,june3
23.5741166667,87.29919,24,june5
23.5741033333,87.2992183333,19,june7
