-1.9353255,-1.0115963,10.4589,64240548
-1.8669177,-0.8887019,10.513836,64240748
-2.5605752,-0.8601114,9.836196,64240948
-2.3764582,-1.0078541,10.736274,64241148
-2.3948698,-1.0433304,10.277927,64241348
-2.5887167,-0.9523196,9.917177,64241548
-2.6458979,-1.0367441,10.663674,64241748
-2.491419,-0.9925859,10.117012,64241948
-2.6051824,-1.0496173,10.14171,64242148
-2.147584,-1.0746154,10.374476,64260148
-2.175576,-1.167572,10.333761,64260348,Junction_1+
-2.1183949,-1.1157798,10.361154,64260549,Junction_1+
-2.0088227,-1.1308982,10.405013,64260748,Junction_1+
-1.8871257,-1.1015593,10.413844,64260948,Junction_1+
-1.9953506,-1.074765,10.424472,64261148,Junction_1+
-1.9375708,-1.1174263,10.40636,64261349,Junction_1+
-1.9335293,-1.0871892,10.443482,64261548,Junction_1+
-1.9467018,-1.0229727,10.421179,64261748,Junction_1+
-2.0709434,-1.0873389,10.432256,64261948,Junction_1+
-2.3189776,-1.0642868,10.307715,64262149,Junction_1+
-2.2679338,-0.8918454,10.306518,64262348,Junction_1+
-2.1309686,-0.87463117,10.390044,64262549,Junction_1+
-2.0392094,-0.80113405,10.445429,64262749,Junction_1+
-2.052981,-0.8017328,10.407707,64262949,Junction_1+
-2.0088227,-0.7355704,10.426718,64263149,Junction_1+
-1.9664607,-0.7595206,10.402767,64263349,Junction_1+
-1.9353255,-0.71341646,10.431657,64263549,Junction_1+
-1.893712,-0.7104227,10.436148,64263749,Junction_1+
-1.9263442,-0.69725007,10.4687805,64263949,Junction_1+
-1.9453546,-0.7258406,10.475367,64264149,Junction_1+
-1.9257454,-0.7695497,10.446028,64264349,Junction_1+
-1.9835253,-0.79709244,10.426269,64264549,Junction_1+
-2.0838168,-0.9134006,10.380314,64264749,Junction_1+
-2.120191,-0.91265213,10.368488,64264949,Junction_1+
-2.1555176,-0.9599538,10.352921,64265149,Junction_1+
-2.2486238,-0.97731763,10.362501,64265349,Junction_1+
-2.3087988,-0.99557966,10.37762,64265549,Junction_1+
-2.328408,-1.0042616,10.339599,64265749,Junction_1+
-2.3408322,-1.0240206,10.310709,64265949,Junction_1+
-2.337539,-1.0168355,10.308613,64266149,Junction_1+
-2.3194268,-1.0238708,10.301578,64266348,Junction_1+
-2.2941294,-1.0126442,10.327923,64266548,Junction_1+
-2.315385,-1.015638,10.361303,64266749,Junction_1+
-2.3334975,-1.025218,10.378967,64266949,Junction_1+
-2.334246,-1.0177336,10.348431,64267149,Junction_1+
-2.3019133,-1.0077045,10.321187,64267349,Junction_1+
-2.2809567,-1.015638,10.299632,64267549,Junction_1+
-2.282753,-1.0395882,10.300081,64267749,Junction_1+
-2.2764661,-1.0237212,10.319241,64267949,Junction_1+
-2.286046,-0.9982741,10.341694,64268149,Junction_1+
-2.2561083,-0.9874965,10.380164,64268349,Junction_1+
-2.262096,-0.9650432,10.368488,64268549,Junction_1+
-2.2499712,-0.95785815,10.34364,64268749,Junction_1+
-2.2170396,-0.9764195,10.318792,64268949,Junction_1+
-2.2079086,-1.0127939,10.325378,64269149,Junction_1+
-2.190844,-1.0083032,10.342892,64269349,Junction_1+
-2.1823118,-1.0231224,10.367291,64269548,Junction_1+
-2.1945863,-1.0298584,10.3866005,64269749,Junction_1+
-2.2126987,-1.0421329,10.390044,64269949,Junction_1+
-2.1278253,-1.002166,10.337803,64270148,Junction_1+
-2.1585114,-1.0322534,10.334359,64270348,Junction_1+
-2.1679418,-1.0539583,10.297686,64270548,Junction_1+
-2.196682,-1.0813513,10.304272,64270749,Junction_1+
-2.279909,-1.1395802,10.329869,64270949,Junction_1+
-2.2796094,-1.1436218,10.339599,64271149,Junction_1+
-2.264042,-1.115181,10.360704,64271349,Junction_1+
-2.2459295,-1.087788,10.338551,64271549,Junction_1+
-2.2218297,-1.1003618,10.314451,64271749,Junction_1+
-2.2100043,-1.1002121,10.298734,64271949,Junction_1+
-2.2150936,-1.11084,10.321936,64272149,Junction_1+
-2.196682,-1.0939251,10.347083,64272349,Junction_1+
-2.2098546,-1.081501,10.393337,64272549,Junction_1+
-2.20252,-1.0639874,10.399324,64272749,Junction_1+
-2.1709356,-1.0725197,10.359508,64272949,Junction_1+
-2.1528232,-1.0443782,10.336156,64273149,Junction_1+
-2.1402493,-1.0482701,10.32972,64273349,Junction_1+
-2.1570144,-1.0617421,10.339,64273549,Junction_1+
-2.1686902,-1.0422826,10.356364,64273749,Junction_1+
-2.1664448,-1.0565029,10.370734,64273949,Junction_1+
-2.2052143,-1.0678793,10.394834,64274149,Junction_1+
-2.166894,-1.0677296,10.351724,64274349,Junction_1+
-2.1415966,-1.0451267,10.344688,64274549,Junction_1+
-2.1314178,-1.0542576,10.350376,64274748,Junction_1+
-2.0845652,-1.0316547,10.337653,64274949,Junction_1+
-2.1182451,-1.0496173,10.360256,64275149,Junction_1+
-2.1109104,-1.0318043,10.378368,64275349,Junction_1+
-2.14474,-1.031505,10.410551,64275549,Junction_1+
-2.1104612,-1.0385404,10.386152,64275749,Junction_1+
-2.1185446,-1.058898,10.345138,64275949,Junction_1+
-2.1751268,-1.0829979,10.361004,64276149,Junction_1+
-2.1444407,-1.0883867,10.327773,64276349,Junction_1+
-2.1790187,-1.0850935,10.335557,64276549,Junction_1+
-2.1532722,-1.051713,10.360704,64276749,Junction_1+
-2.1739292,-1.047821,10.380913,64276949,Junction_1+
-2.1555176,-1.0488689,10.358759,64277149,Junction_1+
-2.1417463,-1.0563533,10.339599,64277349,Junction_1+
-2.1628523,-1.0621911,10.330019,64277549,Junction_1+
-2.1851559,-1.0788066,10.358609,64277748,Junction_1+
-2.1815634,-1.1078463,10.347532,64277949,Junction_1+
-2.2110522,-1.1030562,10.377769,64278149,Junction_1+
-2.2326074,-1.1061996,10.386452,64278349,Junction_1+
-2.2026696,-1.1014096,10.363549,64278549,Junction_1+
-2.2007236,-1.0886861,10.319241,64278749,Junction_1+
-2.17842,-1.0886861,10.326127,64278949,Junction_1+
-2.187551,-1.113684,10.320888,64279149,Junction_1+
-2.170187,-1.0910811,10.332713,64279349,Junction_1+
-2.2010229,-1.0823991,10.370884,64279549,Junction_1+
-2.2297633,-1.1059003,10.366393,64279749,Junction_1+
-2.1865032,-1.0895842,10.318044,64279949,Junction_1+
-2.194287,-1.0964699,10.316846,64280149,Junction_1+
-2.2055137,-1.1121871,10.334808,64280349,Junction_1+
-2.2011726,-1.1009605,10.348281,64280549,Junction_1+
-2.1739292,-1.0999128,10.360106,64280749,Junction_1+
-2.1939876,-1.0931767,10.3794155,64280949,Junction_1+
-2.2161415,-1.1135345,10.365644,64281149,Junction_1+
-2.2013223,-1.0924283,10.356065,64281349,Junction_1+
-2.1983285,-1.1235635,10.334061,64281549,Junction_1+
-2.2104533,-1.1172767,10.31505,64281749,Junction_1+
