-1.2533437,-0.77149564,10.447524,65722712
-1.3280383,-0.6200107,10.268946,65722912
-1.1846366,-0.85142946,11.206446,65723111
-1.0241703,-0.94139236,10.841954,65723312
-1.0123448,-0.9653426,10.077943,65723511
-1.113235,-0.72389466,10.371183,65723712
-1.1313473,-1.008902,10.623408,65723912
-1.1505075,-0.72643936,10.485994,65724112,BrokenRoad_1+
-1.2118798,-0.60968214,10.741364,65724312,BrokenRoad_1+
-1.1620336,-1.0038126,10.43031,65724511,BrokenRoad_1+
-1.3117223,-0.16211289,9.453891,65724712,BrokenRoad_1+
-1.0225236,-1.4579681,11.638298,65724912,BrokenRoad_1+
-1.167123,-0.4923262,11.382929,65725112,BrokenRoad_1+
-1.0785072,-1.0157876,9.967772,65725312,BrokenRoad_1+
-1.4928457,-0.27153534,10.445878,65725512,BrokenRoad_1+
-1.1018586,-0.7447014,9.647139,65725712,BrokenRoad_1+
-1.9481987,-0.5664221,10.43031,65725912,BrokenRoad_1+
-1.194516,-0.79828995,11.961476,65726112,BrokenRoad_1+
-1.2275972,-0.9372011,10.702444,65726312,BrokenRoad_1+
-1.0484198,-1.0440788,10.699151,65726512,BrokenRoad_1+
-1.1704161,-0.6756949,10.0786915,65726712,BrokenRoad_1+
-0.9557625,-1.2220588,10.985057,65726912,BrokenRoad_1+
-1.2976515,-0.8193961,10.603351,65727112,BrokenRoad_1+
-1.2160711,-1.0779085,11.045082,65727311,BrokenRoad_1+
-1.4066249,-0.8285271,10.926229,65727512,BrokenRoad_1+
-1.7839901,-0.048648834,9.644145,65727712,BrokenRoad_1+
-1.694626,-1.470542,10.379715,65727912,BrokenRoad_1+
-1.3398638,-0.80397815,10.440189,65728111,BrokenRoad_1+
-1.5206877,-1.0024654,11.032508,65728312,BrokenRoad_1+
-1.2328362,-1.2606784,9.684112,65728511,BrokenRoad_1+
-1.5808625,-1.5636483,10.883568,65728712,BrokenRoad_1+
-1.7797989,0.27318192,10.294093,65728912,BrokenRoad_1+
-1.2871733,-0.81385756,11.484568,65729112,BrokenRoad_1+
-1.2584331,-1.2428654,10.25248,65729312,BrokenRoad_1+
-1.5862514,-0.39053786,11.1322,65729512,BrokenRoad_1+
-1.4949412,-0.73721695,10.102342,65729712,BrokenRoad_1+
-1.5648459,-0.84993255,10.931468,65729912,BrokenRoad_1+
-1.6033158,-0.5255571,9.964029,65730112,BrokenRoad_1+
-1.7423767,-0.90816146,10.663674,65730312,BrokenRoad_1+
-1.3962964,-1.088237,10.859617,65730512,BrokenRoad_1+
-1.3030403,-0.432301,9.539363,65730711,BrokenRoad_1+
-1.6284636,-0.6056406,11.408525,65730912,BrokenRoad_1+
-1.4076728,-0.4899312,10.470576,65731112,BrokenRoad_1+
-1.6106507,-0.09325607,11.16618,65731312,BrokenRoad_1+
-1.2701088,-0.61761564,10.552007,65731511,BrokenRoad_1+
-1.3735437,-0.85936296,10.508747,65731712,BrokenRoad_1+
-1.371448,-0.9580078,10.115066,65731912,BrokenRoad_1+
-1.5099101,-0.93375826,10.3149,65732111,BrokenRoad_1+
-1.9417621,0.17393829,10.137519,65732312,BrokenRoad_1+
-1.262774,-1.4352155,10.89195,65732512,BrokenRoad_1+
-1.5923886,-0.64351183,10.898836,65732712,BrokenRoad_1+
-1.424887,-0.75053924,9.849368,65732911,BrokenRoad_1+
-1.5843054,-0.34847534,10.928175,65733111,BrokenRoad_1+
-1.4874568,-0.45056304,10.638976,65733312,BrokenRoad_1+
-1.6563057,-0.69246,9.455986,65733512,BrokenRoad_1+
-1.4937438,-0.7966434,11.325299,65733712,BrokenRoad_1+
-1.5085629,-0.7981403,11.143127,65733911,BrokenRoad_1+
-1.9160156,-0.71730834,10.22868,65734112,BrokenRoad_1+
-1.5227834,-1.1762539,9.851165,65734312,BrokenRoad_1+
-1.3461506,-0.9957294,11.178604,65734512,BrokenRoad_1+
-1.6955241,-0.91070616,10.188862,65734712,BrokenRoad_1+
-1.6703764,-0.80727124,10.368339,65734912,BrokenRoad_1+
-1.8510507,-0.2309697,10.798694,65735112,BrokenRoad_1+
-1.699416,-0.59411454,11.374546,65735312,BrokenRoad_1+
-2.5923092,-0.11615845,10.156679,65735511,BrokenRoad_1+
-2.0017872,-1.4042299,10.173743,65735711,BrokenRoad_1+
-1.7100439,-1.7200731,9.93005,65735911,BrokenRoad_1+
-2.0685484,-0.80727124,10.43061,65736112,BrokenRoad_1+
-1.8300943,-0.35326537,10.726395,65736312,BrokenRoad_1+
-2.083667,0.36568955,9.860295,65736511,BrokenRoad_1+
-2.0487895,-1.2320879,10.27164,65736712,BrokenRoad_1+
-1.7230668,-0.572709,10.051598,65736912,BrokenRoad_1+
-1.6061599,-1.0530602,10.760374,65737112,BrokenRoad_1+
-0.7668553,-0.5920189,10.25248,65738312,BrokenRoad_1+
-1.121468,-0.31015503,9.962383,65738512,BrokenRoad_1+
-1.2201128,-0.6715036,11.124267,65738712,BrokenRoad_1+
-1.4057268,-0.64979875,9.696536,65738915,BrokenRoad_1+
-1.6087047,-0.631387,10.072853,65739112,BrokenRoad_1+
-1.1073972,-1.0126442,10.606045,65739312,BrokenRoad_1+
-1.203647,-0.12992981,11.699671,65739512,BrokenRoad_1+
-0.7503896,-0.48663804,9.758058,65739712,BrokenRoad_1+
-1.4873071,0.36658767,10.902129,65739912,BrokenRoad_1+
-1.1846366,-0.6797365,11.455977,65740112,BrokenRoad_1+
-1.3331277,-0.41149428,10.34379,65740312,BrokenRoad_1+
-1.1159294,-1.1665242,9.727821,65740512,BrokenRoad_1+
-1.2946577,-1.079106,11.137739,65740712,BrokenRoad_1+
-1.3256433,-1.0325528,10.453213,65740912,BrokenRoad_1+
-0.88451064,-1.0341994,9.205257,65741113,BrokenRoad_1+
-1.9748433,-0.0742456,11.381882,65741312,BrokenRoad_1+
-1.6964222,-0.7063811,10.729538,65741512,BrokenRoad_1+
-2.063908,0.35640883,10.489287,65741712,BrokenRoad_1+
-1.1924204,-1.1463162,10.912907,65741912,BrokenRoad_1+
-1.2451108,-1.0151889,10.538236,65742112,BrokenRoad_1+
-1.2496015,-1.2054433,10.095306,65742312,BrokenRoad_1+
-1.213227,-0.2296225,10.931618,65742512,BrokenRoad_1+
-1.2763957,-0.61656785,11.07487,65742712,BrokenRoad_1+
-1.6899856,-0.45220962,10.594219,65742912,BrokenRoad_1+
-1.0690769,-1.766776,10.586286,65743112,BrokenRoad_1+
-2.0022364,-0.5105882,9.893975,65743312,BrokenRoad_1+
-1.6554075,-2.2902374,9.363928,65743512,BrokenRoad_1+
-2.352059,-0.07334747,10.524165,65743712,BrokenRoad_1+
-2.267784,0.30746064,10.976225,65743912,BrokenRoad_1+
-2.3456223,0.26285338,10.794054,65744112,BrokenRoad_1+
-1.7455201,-0.02933899,10.456506,65744312,BrokenRoad_1+
-2.722838,0.9339079,10.248887,65744512,BrokenRoad_1+
-1.8308427,-0.63902116,10.628498,65744712,BrokenRoad_1+
-2.6018894,0.15881974,10.0080385,65744912,BrokenRoad_1+
-2.0252883,-2.1631517,9.951007,65745112,BrokenRoad_1+
-1.9085312,-1.8880239,10.009235,65745312,BrokenRoad_1+
-2.0818708,-1.2057426,10.488988,65745512,BrokenRoad_1+
-2.291435,-0.08876541,10.404564,65745712,BrokenRoad_1+
-2.0133133,0.5839357,10.6801405,65745912,BrokenRoad_1+
-2.1594095,0.5653743,11.125015,65746112,BrokenRoad_1+
-1.6992663,-0.09849518,10.79585,65746312,BrokenRoad_1+
-1.5325131,-1.1042536,9.810598,65746513,BrokenRoad_1+
-1.7853373,-0.79005706,10.26206,65746712,BrokenRoad_1+
-1.5334113,-1.325344,10.434951,65746912,BrokenRoad_1+
-1.5295193,-0.2856061,10.720556,65747112,BrokenRoad_1+
-1.3242961,-0.09460327,10.698103,65747312,BrokenRoad_1+
-1.1943663,-0.11166778,10.525961,65747512,BrokenRoad_1+
-1.1142828,-0.7677534,10.71382,65747712,BrokenRoad_1+
-1.2015513,-0.32078293,10.559042,65747912,BrokenRoad_1+
-1.4986835,-0.27243346,10.639874,65748112,BrokenRoad_1+
-1.38013,-0.68662214,10.489737,65748312,BrokenRoad_1+
-1.5799644,-0.581391,10.563233,65748512,BrokenRoad_1+
-1.5245796,-0.64949936,10.518177,65748712,BrokenRoad_1+
-1.4768289,-0.7442523,10.515782,65748912,BrokenRoad_1+
-2.2288651,-0.6899153,9.94472,65753712,BrokenRoad_1+
-2.1585114,-0.6182144,10.545271,65753912,BrokenRoad_1+
-1.7622854,-0.690065,10.745255,65754112,BrokenRoad_1+
-1.6411872,-1.0063573,10.493928,65754312,BrokenRoad_1+
-1.6822019,-0.72808594,10.195897,65754512,BrokenRoad_1+
-1.8579364,-0.3143463,10.600506,65754712,BrokenRoad_1+
-1.8905685,-0.73586977,10.54557,65754912,BrokenRoad_1+
-1.9383192,-0.7855664,10.404264,65755112,BrokenRoad_1+
-2.1064196,-0.443378,10.580897,65755312,BrokenRoad_1+
-1.8757493,-0.8529263,10.52626,65755512,BrokenRoad_1+
-2.1344116,-0.68243086,10.304421,65755712,BrokenRoad_1+
-2.0553758,-1.044977,10.578951,65755912,BrokenRoad_1+
-1.9417621,-0.8946895,10.20937,65756112,BrokenRoad_1+
-2.2011726,-0.9645941,10.052496,65756312,BrokenRoad_1+
-2.6806257,-0.51537824,10.642119,65756512,BrokenRoad_1+
-1.8268012,-1.5429913,10.647658,65756712,BrokenRoad_1+
-1.9731967,-1.1894265,10.215956,65756912,BrokenRoad_1+
-1.7212706,-1.4271322,10.217453,65757112,BrokenRoad_1+
-2.1288729,-0.8174501,10.395882,65757312,BrokenRoad_1+
-2.044299,-0.5201683,10.201885,65757512,BrokenRoad_1+
-2.03412,-1.1978091,10.710977,65757712,BrokenRoad_1+
-1.823508,-1.099314,10.24769,65757912,BrokenRoad_1+
-2.156865,-0.84334624,10.365195,65758112,BrokenRoad_1+
-1.9368224,-1.0623409,10.129286,65758312,BrokenRoad_1+
-2.2281165,-0.91504717,10.282717,65758512,BrokenRoad_1+
-1.968257,-1.2880714,10.410851,65758712,BrokenRoad_1+
-2.1026773,-0.6542894,10.44977,65758913,BrokenRoad_1+
-2.001488,-0.8105644,10.566526,65759112,BrokenRoad_1+
-2.0942948,-0.89364165,9.917626,65759313,BrokenRoad_1+
-2.6637108,-0.746797,10.328971,65759512,BrokenRoad_1+
-2.8436365,-1.0556048,9.501042,65759712,BrokenRoad_1+
-1.8214123,-2.2929318,10.751991,65759912,BrokenRoad_1+
-2.049089,-1.8586849,10.130184,65760113,BrokenRoad_1+
-2.2104533,-1.4618601,10.892848,65760313,BrokenRoad_1+
-2.602039,-0.8643027,10.586136,65760513,BrokenRoad_1+
-2.2882915,-1.0407857,9.774524,65760712,BrokenRoad_1+
-2.429448,-1.5759228,10.220447,65760912,BrokenRoad_1+
-2.1703367,-1.2466077,10.72864,65761112,BrokenRoad_1+
-2.3224206,-0.8894504,10.399474,65761312,BrokenRoad_1+
-2.327061,-0.8770262,10.603201,65761512,BrokenRoad_1+
-2.434238,-1.5495776,10.172696,65761712,BrokenRoad_1+
-2.188898,-1.757645,9.797875,65761912,BrokenRoad_1+
-2.0865111,-1.6259189,10.836116,65762112,BrokenRoad_1+
-2.0236418,-0.88481003,9.846075,65762312,BrokenRoad_1+
-2.2550607,-0.89079756,10.374926,65762512,BrokenRoad_1+
-1.9468515,-1.4413527,9.812545,65762712,BrokenRoad_1+
-2.0839663,-0.85127974,11.083252,65762912,BrokenRoad_1+
-1.7940193,-1.2476555,10.721754,65763112,BrokenRoad_1+
-1.9386187,-0.9610016,10.313403,65763312,BrokenRoad_1+
-1.7878821,-1.765279,10.001901,65763513,BrokenRoad_1+
-1.6334033,-1.4738351,10.232272,65763712,BrokenRoad_1+
-1.7591418,-0.97776675,10.615774,65763912,BrokenRoad_1+
-1.7284557,-1.223406,10.159074,65764112,BrokenRoad_1+
-1.920656,-1.0605446,10.78612,65764312,BrokenRoad_1+
-1.8100361,-0.87178713,10.602901,65764512,BrokenRoad_1+
-1.8327887,-0.5849835,10.57431,65764712,BrokenRoad_1+
-1.520987,-0.9897418,10.188862,65764912,BrokenRoad_1+
-1.7179774,-0.99977094,10.539733,65765113,BrokenRoad_1+
-1.8082397,-1.2759466,10.511142,65765312,BrokenRoad_1+
-1.873055,-0.80248123,10.408007,65765513,BrokenRoad_1+
-1.8311421,-1.1811937,10.489287,65765713
-1.7500108,-1.3727952,10.347083,65765912
-1.843267,-0.94363767,10.183474,65766112
-1.8916163,-0.8623567,10.341395,65766312
-1.5789167,-1.1228151,11.386671,65766513
-1.6317568,-0.80742097,10.254127,65766712
-1.7741107,-1.1490107,10.561587,65766912
-1.7881814,-1.2847782,10.187216,65767112
-1.9139199,-1.2144246,10.902578,65767312
-1.7848883,-0.89079756,10.318643,65767512
-1.6567547,-0.7936496,10.202035,66820801
-1.4989829,-0.68422717,10.931618,66821001
-1.6416363,-0.75847274,10.334509,66821201
-1.3587245,-0.9104068,10.171349,66821401
-1.6003221,-0.7225475,10.620415,66821601
-1.7540524,-0.5334906,10.680739,66821801
-1.6395406,-0.73078036,10.868,66822000
-1.8212627,-0.5510042,10.266252,66822201
-1.5726297,-0.66850984,9.980945,66822400
-1.9836749,-1.1511062,10.226134,66894416
-2.6243427,-1.4024336,10.823842,66894617,BrokenRoad_2+
-2.2305117,-1.343606,9.803863,66894817,BrokenRoad_2+
-1.8839822,-1.2784914,10.338101,66895017,BrokenRoad_2+
-2.2116508,-1.3331277,10.948682,66895217,BrokenRoad_2+
-2.0722907,-0.875679,10.48764,66895417,BrokenRoad_2+
-1.7591418,-0.7952962,9.783056,66895618,BrokenRoad_2+
-2.2427862,-1.0123448,10.177635,66895817,BrokenRoad_2+
-2.1725821,-1.14931,11.145074,66896018,BrokenRoad_2+
-2.219734,-0.7750882,10.555899,66896217,BrokenRoad_2+
-1.9996916,-0.73871386,10.82938,66896416,BrokenRoad_2+
-2.0110679,-0.32183075,9.881103,66896618,BrokenRoad_2+
-1.818718,-0.81700104,9.905651,66896818,BrokenRoad_2+
-2.0311263,-0.38425094,11.129356,66897018
-1.8067429,-1.1630814,9.897867,66897218
-2.0502863,-0.94423646,9.98783,66897417
-1.819167,-1.0850935,10.749745,66897618
-1.9461031,-0.8975336,11.100467,66897818
-2.0290306,-0.6737489,9.631721,66898018
-1.7789007,-0.84229845,10.2508335,66898217
-1.9173628,-1.4359639,10.1526375,66898418
-1.8531463,-1.2954062,10.330318,66898617
-1.8979033,-1.575324,9.929003,66898817
-2.7798693,-1.7690213,9.871821,67160829
-2.6867628,-1.8634748,10.272388,67161029
-2.551594,-1.9064355,10.227931,67161229
-2.8443851,-1.7877324,9.869127,67161428
-2.6987379,-1.7712666,10.07465,67161629
-2.9957204,-1.7339941,10.270443,67161829
-2.834805,-1.8498532,10.207124,67162029
-2.845433,-1.5173945,10.064172,67162228
-2.9130921,-1.7524059,10.468481,67162428
-2.8455825,-2.275568,10.111174,67166430
-2.6536818,-2.2751188,10.698103,67166629,BrokenRoad_3+
-2.4248075,-1.9056871,10.181976,67166829,BrokenRoad_3+
-2.4403753,-1.6202307,9.703721,67167029,BrokenRoad_3+
-2.7427464,-1.8323396,10.474468,67167229,BrokenRoad_3+
-3.0067973,-1.9184107,10.149644,67167428,BrokenRoad_3+
-3.0090427,-2.0070264,10.065369,67167629,BrokenRoad_3+
-3.0523026,-2.049538,9.615555,67167829
-3.0620325,-1.873504,9.993668,67168029
-2.5093818,-2.1772225,10.152937,67168229
-2.5471032,-1.8359321,10.0996475,67168428
-2.347119,-1.8477576,10.050999,67168629
-2.4789948,-1.9513421,10.509645,67168828
-2.7388544,-1.7161812,10.519375,67169029
-2.3980134,-1.6238233,10.032138,67169229
-2.7806177,-1.6968713,10.250235,67169428
-2.5767417,-1.6757653,10.013726,67169629
-3.254532,-2.264042,9.834549,67436041
-3.2525861,-1.7865349,10.059531,67436241
-2.6855652,-2.1962328,9.297466,67436440
-2.5695565,-1.9059864,10.38705,67436641
-1.9097286,-1.2735516,10.426269,67436840
-2.339036,-1.445544,9.675579,67437041
-2.5622218,-0.87433183,11.223062,67437241
-2.1547692,-1.0081536,9.948612,67437440
-2.2843995,-1.0412347,10.54602,67437641
-2.2912853,-1.1008109,10.9455385,67437840,BrokenRoad_4+
-2.1634512,-1.0198293,10.27134,67438041,BrokenRoad_4+
-2.7640023,-1.393153,9.87242,67438241,BrokenRoad_4+
-2.571802,-1.4019846,9.506731,67438440,BrokenRoad_4+
-2.8955786,-1.4750327,10.760075,67438641,BrokenRoad_4+
-3.137775,-1.5467335,10.513088,67438841,BrokenRoad_4+
-2.4792943,-1.477727,9.96388,67439041,BrokenRoad_4+
-3.2696507,-2.2272184,10.167007,67439241,BrokenRoad_4+
-3.3904495,-1.8827847,10.142609,67439440,BrokenRoad_4+
-2.8541148,-2.089954,9.944121,67439641,BrokenRoad_4+
-3.093467,-2.253863,9.863139,67439841,BrokenRoad_4+
-2.987188,-2.4754024,9.926009,67440041,BrokenRoad_4+
-2.6988876,-2.4908204,9.048384,67440241
-2.88525,-2.5999434,10.5306015,67440440
-2.7729836,-2.5771906,9.950857,67440641
-2.8744726,-2.8981233,10.075698,67440841
-2.619403,-2.5156686,9.268576,67441041
-2.793491,-2.9779074,10.186617,67441241
-2.770439,-2.8032207,9.932446,67441440
-2.6653574,-2.4023542,10.105636,67441640
-2.6274862,-2.1781206,9.668394,67441841
-2.8113039,-2.0992346,11.210188,67442041
-3.1148727,-1.8781444,10.05998,67442241
-3.0898745,-2.199975,9.190887,67442440
-3.2139666,-2.162104,10.318044,67442641
-3.069068,-1.9772383,10.366992,67442841
-3.0240116,-1.9419118,9.459129,67443041
-3.4102085,-2.0359163,10.111024,67443241
-2.8951294,-1.4789245,9.368419,67443440
-3.081043,-1.4876065,10.371183,67443641
-3.0889764,-1.6822019,10.04067,67443841
-2.3189776,-2.58243,10.020163,67449440
-2.1936882,-3.0912218,9.899963,67449641,BrokenRoad_5+
-1.612896,-3.233426,9.866582,67449841,BrokenRoad_5+
-2.0005898,-3.2150145,10.160571,67450041,BrokenRoad_5+
-2.3661296,-3.237767,9.993519,67450241,BrokenRoad_5+
-2.085014,-3.2413595,10.083033,67450440,BrokenRoad_5+
-2.020648,-3.3235388,9.172176,67450641,BrokenRoad_5+
-2.8719277,-2.963238,9.381142,67450841,BrokenRoad_5+
-2.8151958,-2.679428,9.409134,67451041,BrokenRoad_5+
