#x,y,z,time
-0.2523752,6.2275,8.3024845,65280894
0.047451325,6.1183767,8.600216,65281094
-0.105829924,5.470075,8.783884,65281294
0.033230897,5.4711227,8.699459,65281494
-0.1074765,5.32817,8.776549,65281694
-0.60833496,5.0980983,9.347462,65281894
-1.094973,4.4667115,9.042247,65282094
-0.8418494,4.0607557,9.871821,65282295
-0.8836125,-0.8652008,10.549313,65285493
-0.6271957,-0.66701293,10.490036,65285695,BusStop_1+
-0.7791298,-0.56028485,10.558743,65285894,BusStop_1+
-0.8449928,-0.77688444,10.602303,65286094,BusStop_1+
-0.72494245,-0.5930667,10.589129,65286295,BusStop_1+
-0.81041473,-0.6514453,10.571616,65286493,BusStop_1+
-0.75023985,-0.6117778,10.58434,65286695,BusStop_1+
-0.68183213,-0.4701723,10.571916,65286894,BusStop_1+
-0.8003856,-0.5215155,10.564132,65287095,BusStop_1+
-1.1121871,-0.7087761,10.654394,65287295,BusStop_1+
-1.1484119,-0.7074289,10.596913,65287494,BusStop_1+
-1.2265494,-0.8409512,10.507998,65287695,BusStop_1+
-1.1779006,-0.7339238,10.605895,65287893,BusStop_1+
-0.95980406,-0.5724097,10.585387,65288095,BusStop_1+
-1.2271482,-0.6402187,10.637629,65288295,BusStop_1+
-1.0256671,-0.48933244,10.60829,65288494,BusStop_1+
-0.9792636,-0.649649,10.6310425,65288695,BusStop_1+
-1.0539583,-0.8175998,10.422077,65288894,BusStop_1+
-1.0804532,-0.9237291,10.405761,65289095,BusStop_1+
-0.92402846,-0.89109695,10.69496,65289295,BusStop_1+
-0.6274951,-0.52570677,10.500364,65289494,BusStop_1+
-0.508792,-0.6240523,10.671009,65289695,BusStop_1+
-0.7776329,-0.8446934,10.553205,65289895,BusStop_1+
-0.7354207,-0.7430548,10.510842,65290095,BusStop_1+
-0.7138655,-0.7699988,10.624007,65290295,BusStop_1+
-0.6360274,-0.6994954,10.553504,65290493,BusStop_1+
-0.34323624,-0.7740404,10.565629,65290695,BusStop_1+
-0.19684067,-0.6845265,10.679392,65290895,BusStop_1+
-0.15148498,-0.721799,10.619666,65291095,BusStop_1+
-0.10807525,-0.823737,10.6517,65291295,BusStop_1+
-0.22498214,-0.8125104,10.630743,65291493,BusStop_1+
