-1.6624429,0.3888913,11.338921,66521990
-1.3832735,0.29219237,10.859617,66522190
-1.4319223,0.11855347,10.174791,66522389
-1.2573853,-0.07933502,10.365046,66522590
-1.4720389,-0.12783417,10.808125,66522790
-1.5115567,0.05269043,10.162217,66522990
-1.7690213,0.069455564,11.07487,66523190
-1.7443227,0.023201752,10.618768,66523389
-1.5040723,0.014819183,10.018966,66523590
-0.59531206,-0.64845157,11.064691,66539789
-0.63497955,-0.40430924,10.573861,66539990,Junction_1+
-0.50669634,-0.9380992,10.15144,66540191,Junction_1+
-0.6218069,-0.68243086,11.19971,66540390,Junction_1+
-0.5046007,-0.66910857,10.4268675,66540591,Junction_1+
-0.55893767,-0.5771997,10.729688,66540791,Junction_1+
-0.6816824,-0.5902226,10.9102125,66540990,Junction_1+
-0.41912842,-0.5604346,10.433903,66541191,Junction_1+
-0.50205594,-0.4180806,10.956615,66541390,Junction_1+
-0.5315446,-0.52121615,10.662178,66541590,Junction_1+
-0.5417235,-0.5718109,10.627899,66541791,Junction_1+
-0.5040019,-0.37122804,10.833272,66541990,Junction_1+
-0.38649628,-0.29548553,10.739118,66542191,Junction_1+
-0.37796402,-0.50205594,10.737771,66542390,Junction_1+
-0.24983047,-0.6101312,10.66128,66542590,Junction_1+
-0.20627105,-0.5402266,10.765313,66542791,Junction_1+
-1.2889695,-0.41583526,10.697953,66542990,Junction_1+
-1.3608202,-0.39637575,10.43046,66543191,Junction_1+
-0.93196195,-0.29114455,10.650652,66543391,Junction_1+
-1.1190729,-0.23950195,10.485845,66543590,Junction_1+
-1.0100995,-0.27961853,10.626851,66543790,Junction_1+
-1.1886781,-0.29922774,10.590627,66543990,Junction_1+
-1.002166,-0.25701553,10.666669,66544191,Junction_1+
-1.0380913,-0.2971321,10.596165,66544393,Junction_1+
-1.054108,-0.27512786,10.610985,66544590,Junction_1+
-1.1073972,-0.2776726,10.580298,66544790,Junction_1+
-1.1018586,-0.3079097,10.608589,66544990,Junction_1+
-1.0448272,-0.33679962,10.62266,66545191,Junction_1+
-1.0442286,-0.3161426,10.617571,66545390,Junction_1+
-1.0692265,-0.3198848,10.592124,66545591,Junction_1+
-1.051713,-0.29234207,10.605446,66545790,Junction_1+
-1.065185,-0.30776,10.585836,66545990,Junction_1+
-1.0674303,-0.31284943,10.597961,66546191,Junction_1+
-1.0714718,-0.30192214,10.602452,66546391,Junction_1+
-1.129551,-0.30476624,10.606494,66546591,Junction_1+
-1.0955718,-0.29144394,10.623408,66546791,Junction_1+
-1.1044034,-0.2944377,10.593171,66546990,Junction_1+
-1.0686278,-0.2906955,10.581944,66547191,Junction_1+
-1.1033555,-0.31135255,10.579101,66547390,Junction_1+
-1.0798545,-0.3305127,10.606793,66547590,Junction_1+
-1.0913805,-0.3156935,10.63239,66547790,Junction_1+
-1.0594968,-0.31808853,10.621163,66547990,Junction_1+
-1.0901829,-0.316891,10.599159,66548190,Junction_1+
-1.0828482,-0.2906955,10.58434,66548390,Junction_1+
-1.1487112,-0.28874955,10.574011,66548591,Junction_1+
-1.1144326,-0.30461654,10.597063,66548791,Junction_1+
-1.0963202,-0.29548553,10.606494,66548991,Junction_1+
-1.0909314,-0.28830048,10.609338,66549191,Junction_1+
-1.0936258,-0.27617568,10.597213,66549391,Junction_1+
-1.1126362,-0.28231293,10.582394,66549591,Junction_1+
-1.0982661,-0.28156447,10.580448,66549791,Junction_1+
-1.1048524,-0.2933899,10.599758,66549991,Junction_1+
-1.1274555,-0.2944377,10.636132,66550191,Junction_1+
-1.1178753,-0.30686188,10.631342,66550390,Junction_1+
-1.0392888,-0.2776726,10.606943,66550591,Junction_1+
-1.0976673,-0.28889924,10.575209,66550791,Junction_1+
-1.1099418,-0.2933899,10.555,66550991,Junction_1+
-1.0957215,-0.2812651,10.582244,66551191,Junction_1+
-1.1035053,-0.2945874,10.614876,66551391,Junction_1+
-1.1183244,-0.2933899,10.628049,66551591,Junction_1+
-1.0647359,-0.27288255,10.603949,66551791,Junction_1+
-1.0823991,-0.26075774,10.583591,66551991,Junction_1+
-1.1066487,-0.26734406,10.5780525,66552191,Junction_1+
-1.1198213,-0.27662477,10.575508,66552392,Junction_1+
-1.0353969,-0.31165192,10.583292,66552591,Junction_1+
-1.0800041,-0.31195128,10.608589,66552791,Junction_1+
-1.1319461,-0.29144394,10.64167,66552991,Junction_1+
-1.1005114,-0.27662477,10.626552,66553191,Junction_1+
-1.0909314,-0.2836601,10.591226,66553391,Junction_1+
-1.093027,-0.27408004,10.557995,66553591,Junction_1+
-1.0469229,-0.27018815,10.572814,66553791,Junction_1+
-1.0327024,-0.27557695,10.5924225,66553991,Junction_1+
