0.041545313,-0.1555286,0.013848438,65722712
0.14913702,-0.11717909,-0.01917476,65722912
-0.13315806,0.4314321,0.07882957,65723111
0.07243798,-0.3771036,0.092678,65723312
-0.05326322,0.3930826,0.07137272,65723511
0.07882957,-0.3653857,-0.008522116,65723712
0.41864893,-0.0777643,-0.018109495,65723912
-0.06498113,0.0031957934,-0.022370553,65724112,BrokenRoad_1+
-0.02130529,-0.067111656,0.083090626,65724312,BrokenRoad_1+
0.029827405,0.23329291,0.067111656,65724511,BrokenRoad_1+
0.1257012,-0.8713863,-0.14807175,65724712,BrokenRoad_1+
0.18748654,0.13528858,-0.2961435,65724912,BrokenRoad_1+
-0.19281286,0.10226539,0.099069595,65725112,BrokenRoad_1+
-0.07137272,0.030892668,0.030892668,65725312,BrokenRoad_1+
-0.2790993,0.07243798,0.023435818,65725512,BrokenRoad_1+
0.20772657,-0.2876214,-0.00958738,65725712,BrokenRoad_1+
-0.16937704,-0.2908172,0.0053263223,65725912,BrokenRoad_1+
0.13848437,-0.3653857,0.017044231,65726112,BrokenRoad_1+
-0.1438107,0.2876214,0.17044231,65726312,BrokenRoad_1+
0.0010652645,-0.47936898,0.020240024,65726512,BrokenRoad_1+
-0.023435818,0.02663161,-0.02130529,65726712,BrokenRoad_1+
0.30573088,0.5965481,0.054328486,65726912,BrokenRoad_1+
0.023435818,-0.370712,0.027696876,65727112,BrokenRoad_1+
-0.10439591,-0.044741105,0.033023197,65727311,BrokenRoad_1+
0.041545313,0.15659387,0.1587244,65727512,BrokenRoad_1+
-0.035153728,-0.41225734,0.049002163,65727712,BrokenRoad_1+
-0.058589544,0.26418558,-0.0479369,65727912,BrokenRoad_1+
-0.040480047,-0.3717773,0.039414786,65728111,BrokenRoad_1+
0.05006743,0.051132694,-0.15339808,65728312,BrokenRoad_1+
-0.013848438,-0.2961435,0.054328486,65728511,BrokenRoad_1+
0.1949434,-0.10546118,0.030892668,65728712,BrokenRoad_1+
-0.221575,0.22796659,0.033023197,65728912,BrokenRoad_1+
-0.0010652645,0.043675844,0.0031957934,65729112,BrokenRoad_1+
0.0958738,0.36645097,0.030892668,65729312,BrokenRoad_1+
0.058589544,0.017044231,-0.02876214,65729512,BrokenRoad_1+
-0.037284255,-0.06072007,0.061785337,65729712,BrokenRoad_1+
-0.007456851,-0.22050974,-0.06924219,65729912,BrokenRoad_1+
-0.06498113,-0.07243798,0.04261058,65730112,BrokenRoad_1+
-0.06391586,0.06924219,-0.05752428,65730312,BrokenRoad_1+
-0.113983296,0.22264026,0.06072007,65730512,BrokenRoad_1+
-0.0127831735,-0.257794,0.12996227,65730711,BrokenRoad_1+
-0.039414786,0.12676647,-0.18961707,65730912,BrokenRoad_1+
0.011717909,-0.28336033,0.0,65731112,BrokenRoad_1+
0.004261058,0.014913702,-0.056459013,65731312,BrokenRoad_1+
-0.024501082,-0.05006743,0.035153728,65731511,BrokenRoad_1+
-0.07350325,0.23009712,-0.02130529,65731712,BrokenRoad_1+
-0.0127831735,0.039414786,0.02663161,65731912,BrokenRoad_1+
0.04580637,-0.03621899,-0.002130529,65732111,BrokenRoad_1+
-0.07456851,0.36005938,-0.0010652645,65732312,BrokenRoad_1+
-0.014913702,0.052197956,-0.10120012,65732512,BrokenRoad_1+
0.10333065,0.10865697,-0.0031957934,65732712,BrokenRoad_1+
-0.0031957934,0.035153728,0.03834952,65732911,BrokenRoad_1+
-0.06498113,-0.22690132,-0.027696876,65733111,BrokenRoad_1+
0.024501082,-0.27057716,0.04261058,65733312,BrokenRoad_1+
0.10652644,0.16511598,-0.03621899,65733512,BrokenRoad_1+
-0.16298546,0.1470065,-0.096939065,65733712,BrokenRoad_1+
0.049002163,-0.3174488,0.07563377,65733911,BrokenRoad_1+
-0.02663161,0.07243798,-0.01917476,65734112,BrokenRoad_1+
0.027696876,0.092678,0.04580637,65734312,BrokenRoad_1+
0.02663161,0.28122982,-0.08948221,65734512,BrokenRoad_1+
0.004261058,-0.044741105,0.066046394,65734712,BrokenRoad_1+
-0.041545313,0.011717909,-0.04580637,65734912,BrokenRoad_1+
0.007456851,0.19600865,0.082025364,65735112,BrokenRoad_1+
0.015978966,-0.05326322,0.05965481,65735312,BrokenRoad_1+
-0.18109496,0.2247708,0.037284255,65735511,BrokenRoad_1+
0.083090626,-0.05539375,0.09054748,65735711,BrokenRoad_1+
0.098004326,0.15020229,-0.0053263223,65735911,BrokenRoad_1+
0.049002163,-0.05006743,-0.025566347,65736112,BrokenRoad_1+
-0.07989483,0.14168017,0.004261058,65736312,BrokenRoad_1+
-0.05752428,0.094808534,0.041545313,65736511,BrokenRoad_1+
0.21092236,-0.4548679,-0.05752428,65736712,BrokenRoad_1+
-0.066046394,-0.4484763,-0.008522116,65736912,BrokenRoad_1+
0.12250541,-0.28442562,-0.0031957934,65737112,BrokenRoad_1+
-0.054328486,0.19600865,-0.002130529,65738312,BrokenRoad_1+
0.010652645,-0.008522116,-0.049002163,65738512,BrokenRoad_1+
-0.070307456,-0.002130529,-0.037284255,65738712,BrokenRoad_1+
0.05965481,-0.030892668,-0.0053263223,65738915,BrokenRoad_1+
0.27696875,-0.73609775,-0.18429075,65739112,BrokenRoad_1+
0.056459013,0.4974785,-0.109722234,65739312,BrokenRoad_1+
0.28016454,0.061785337,-0.05006743,65739512,BrokenRoad_1+
-0.029827405,0.4165184,0.014913702,65739712,BrokenRoad_1+
0.034088463,-0.20240024,0.10333065,65739912,BrokenRoad_1+
-0.14487596,0.099069595,-0.16937704,65740112,BrokenRoad_1+
-0.21198763,-0.22050974,0.07563377,65740312,BrokenRoad_1+
-0.1107875,0.5060006,-0.09054748,65740512,BrokenRoad_1+
-0.04580637,0.14061491,-0.07137272,65740712,BrokenRoad_1+
-0.128897,0.094808534,0.002130529,65740912,BrokenRoad_1+
0.051132694,0.11611383,-0.023435818,65741113,BrokenRoad_1+
0.046871636,0.30786142,-0.45060685,65741312,BrokenRoad_1+
-0.10546118,-0.1257012,0.19813919,65741512,BrokenRoad_1+
-0.18961707,-0.13315806,-0.13422331,65741712,BrokenRoad_1+
0.011717909,0.30040458,-0.07989483,65741912,BrokenRoad_1+
-0.054328486,-0.015978966,0.024501082,65742112,BrokenRoad_1+
-0.0479369,-0.5241101,0.096939065,65742312,BrokenRoad_1+
-0.10333065,0.3685815,-0.07243798,65742512,BrokenRoad_1+
-0.094808534,-0.25246766,0.08948221,65742712,BrokenRoad_1+
