#x,y,z,time
-0.10013486,-0.06924219,-0.1438107,65280894
-0.1736381,0.19281286,-0.083090626,65281094
-0.1107875,-0.011717909,0.02876214,65281294
-0.22903186,-0.07563377,-0.041545313,65281494
-0.15233281,0.098004326,-0.02663161,65281694
-0.314253,0.07989483,0.030892668,65281894
-0.3771036,0.16298546,0.25566345,65282094
-0.24181503,0.44315,0.111852765,65282295
-0.035153728,-0.054328486,-0.05752428,65285493
-0.092678,0.34301513,-0.1438107,65285695,BusStop_1+
-0.00958738,-0.07243798,-0.013848438,65285894,BusStop_1+
0.0063915867,0.043675844,-0.025566347,65286094,BusStop_1+
0.008522116,0.033023197,-0.056459013,65286295,BusStop_1+
0.015978966,-0.13635385,-0.018109495,65286493,BusStop_1+
0.022370553,0.05006743,0.0063915867,65286695,BusStop_1+
-0.010652645,-0.07989483,-0.02876214,65286894,BusStop_1+
-0.07669904,-0.01917476,-0.0053263223,65287095,BusStop_1+
-0.022370553,0.14487596,-0.03195793,65287295,BusStop_1+
-0.022370553,-0.039414786,-0.041545313,65287494,BusStop_1+
-0.0053263223,0.1768339,-0.015978966,65287695,BusStop_1+
0.0063915867,-0.10333065,-0.03195793,65287893,BusStop_1+
0.013848438,0.1555286,-0.035153728,65288095,BusStop_1+
-0.046871636,-0.029827405,-0.010652645,65288295,BusStop_1+
-0.011717909,0.033023197,-0.022370553,65288494,BusStop_1+
-0.07456851,0.099069595,-0.022370553,65288695,BusStop_1+
-0.02130529,0.13209279,0.037284255,65288894,BusStop_1+
0.034088463,-0.18216021,-0.12250541,65289095,BusStop_1+
0.004261058,-0.1768339,-0.030892668,65289295,BusStop_1+
-0.033023197,-0.15659387,-0.054328486,65289494,BusStop_1+
-0.061785337,-0.022370553,-0.03834952,65289695,BusStop_1+
-0.03195793,0.21305288,0.017044231,65289895,BusStop_1+
0.07243798,0.294013,-0.07243798,65290095,BusStop_1+
0.010652645,0.2876214,-0.07563377,65290295,BusStop_1+
0.044741105,-0.3153183,-0.094808534,65290493,BusStop_1+
-0.033023197,-0.07563377,-0.030892668,65290695,BusStop_1+
-0.0063915867,0.043675844,0.0031957934,65290895,BusStop_1+
0.023435818,-0.008522116,-0.013848438,65291095,BusStop_1+
-0.02130529,-0.037284255,-0.05326322,65291295,BusStop_1+
-0.04580637,0.0063915867,-0.033023197,65291493,BusStop_1+
-0.013848438,-0.10439591,-0.00958738,65291695,BusStop_1+
-0.02876214,-0.2247708,0.029827405,65291895,BusStop_1+
-0.002130529,-0.022370553,-0.030892668,65292093,BusStop_1+
0.017044231,0.09161274,-0.0031957934,65292295,BusStop_1+
0.051132694,0.11930962,-0.008522116,65292494,BusStop_1+
-0.07350325,0.02876214,0.0031957934,65292693,BusStop_1+
0.023435818,0.020240024,-0.024501082,65292895,BusStop_1+
0.0063915867,-0.096939065,0.024501082,65293095,BusStop_1+
-0.0031957934,-0.12357067,0.041545313,65293295,BusStop_1+
-0.00958738,-0.018109495,-0.002130529,65293494,BusStop_1+
0.05752428,0.19281286,0.083090626,65293694,BusStop_1+
0.015978966,0.013848438,0.0031957934,65293894,BusStop_1+
-0.027696876,-0.014913702,0.022370553,65294094,BusStop_1+
-0.002130529,-0.06924219,-0.010652645,65294294,BusStop_1+
0.0010652645,0.16724652,0.1257012,65294494,BusStop_1+
-0.027696876,-0.45593318,-0.08628642,65294694,BusStop_1+
-0.018109495,-0.21624868,0.017044231,65294894,BusStop_1+
-0.0010652645,0.10013486,0.066046394,65295095,BusStop_1+
0.035153728,-0.014913702,0.018109495,65295295,BusStop_1+
0.02130529,0.0063915867,0.025566347,65295494,BusStop_1+
-0.00958738,-0.0053263223,0.027696876,65295694,BusStop_1+
0.011717909,-0.051132694,0.035153728,65295894,BusStop_1+
-0.0063915867,-0.004261058,0.01917476,65296094,BusStop_1+
-0.015978966,-0.043675844,0.02663161,65296294,BusStop_1+
-0.02876214,-0.25566345,-0.0127831735,65296494,BusStop_1+
-0.029827405,-0.26312032,0.024501082,65296694,BusStop_1+
-0.004261058,-0.1587244,0.007456851,65296894,BusStop_1+
-0.002130529,0.027696876,-0.007456851,65297094,BusStop_1+
0.0053263223,0.007456851,0.0053263223,65297294,BusStop_1+
-0.00958738,0.09374327,-0.013848438,65297494,BusStop_1+
-0.004261058,-0.066046394,-0.0053263223,65297694,BusStop_1+
-0.023435818,-0.18322548,-0.011717909,65297894,BusStop_1+
0.0,0.05752428,-0.017044231,65298094,BusStop_1+
-0.007456851,0.025566347,-0.015978966,65298294,BusStop_1+
-0.008522116,0.05539375,0.002130529,65298494,BusStop_1+
-0.035153728,-0.08522116,0.002130529,65298694,BusStop_1+
0.0063915867,-0.11291803,-0.025566347,65298894,BusStop_1+
-0.0479369,-0.39095205,-0.004261058,65299094,BusStop_1+
-0.02876214,-0.3323625,-0.00958738,65299294,BusStop_1+
0.008522116,-0.094808534,-0.030892668,65299494,BusStop_1+
0.0053263223,-0.046871636,-0.029827405,65299694,BusStop_1+
-0.0010652645,0.13422331,-0.013848438,65299894,BusStop_1+
-0.01917476,-0.046871636,0.0053263223,65300094,BusStop_1+
0.017044231,0.024501082,-0.020240024,65300294,BusStop_1+
0.011717909,0.067111656,-0.015978966,65300494,BusStop_1+
-0.014913702,-0.11611383,0.002130529,65300694,BusStop_1+
-0.027696876,-0.010652645,-0.0063915867,65300894,BusStop_1+
0.00958738,-0.035153728,0.004261058,65301094,BusStop_1+
0.007456851,0.039414786,-0.0031957934,65301294,BusStop_1+
0.008522116,-0.029827405,-0.018109495,65301494,BusStop_1+
-0.029827405,-0.08522116,0.022370553,65301694,BusStop_1+
0.010652645,0.16831177,0.0,65301894,BusStop_1+
0.03834952,0.22903186,-0.0053263223,65302093,BusStop_1+
0.01917476,0.061785337,-0.0010652645,65302294,BusStop_1+
-0.033023197,-0.083090626,-0.007456851,65302494,BusStop_1+
-0.01917476,-0.08522116,0.002130529,65302694,BusStop_1+
-0.0031957934,-0.051132694,0.0063915867,65302894,BusStop_1+
-0.018109495,-0.109722234,0.002130529,65303094,BusStop_1+
-0.030892668,-0.070307456,0.025566347,65303294,BusStop_1+
0.022370553,0.07563377,0.020240024,65303494,BusStop_1+
0.020240024,0.12357067,0.008522116,65303694,BusStop_1+
-0.02130529,-0.0479369,-0.002130529,65303894,BusStop_1+
-0.0063915867,-0.10652644,0.0,65304094,BusStop_1+
-0.010652645,-0.07882957,0.0010652645,65304294,BusStop_1+
-0.03621899,-0.15446334,0.011717909,65304494,BusStop_1+
-0.011717909,-0.007456851,0.022370553,65304694,BusStop_1+
0.03834952,0.0958738,0.022370553,65304894,BusStop_1+
0.015978966,0.05539375,-0.002130529,65305094,BusStop_1+
-0.017044231,-0.15233281,-0.0063915867,65305294,BusStop_1+
-0.01917476,-0.09054748,0.0,65305494,BusStop_1+
-0.046871636,0.09161274,0.018109495,65305694,BusStop_1+
-0.018109495,-0.0958738,-0.02876214,65305894,BusStop_1+
-0.015978966,-0.17896442,0.040480047,65306093,BusStop_1+
-0.039414786,-0.058589544,0.023435818,65306294,BusStop_1+
0.058589544,0.1470065,0.008522116,65306494,BusStop_1+
0.0010652645,0.051132694,-0.0010652645,65306694,BusStop_1+
-0.033023197,-0.083090626,-0.00958738,65306893,BusStop_1+
-0.029827405,-0.05539375,0.020240024,65307094,BusStop_1+
-0.0063915867,-0.1438107,-0.002130529,65307294,BusStop_1+
-0.025566347,-0.113983296,0.008522116,65307494,BusStop_1+
-0.029827405,-0.05752428,0.0127831735,65307694,BusStop_1+
0.0031957934,0.082025364,0.017044231,65307894,BusStop_1+
0.044741105,0.14168017,0.0010652645,65308094,BusStop_1+
0.004261058,0.027696876,-0.0031957934,65308294,BusStop_1+
-0.02663161,-0.13209279,0.007456851,65308494,BusStop_1+
-0.025566347,-0.15233281,0.022370553,65308694,BusStop_1+
-0.0053263223,-0.07882957,0.0053263223,65308894,BusStop_1+
-0.041545313,-0.09374327,0.02130529,65309094,BusStop_1+
-0.02876214,-0.068176925,0.029827405,65309294,BusStop_1+
0.030892668,0.092678,0.020240024,65309494,BusStop_1+
0.034088463,0.13209279,0.004261058,65309694,BusStop_1+
-0.014913702,-0.037284255,0.0053263223,65309894,BusStop_1+
-0.018109495,-0.092678,0.0053263223,65310094,BusStop_1+
0.010652645,-0.0777643,-0.0031957934,65310294,BusStop_1+
-0.022370553,-0.294013,-0.024501082,65310494,BusStop_1+
-0.08628642,0.20240024,0.080960095,65310694,BusStop_1+
-0.01917476,-0.11291803,-0.01917476,65310894,BusStop_1+
0.04261058,0.24927188,0.017044231,65311094,BusStop_1+
0.10439591,0.406931,0.14168017,65311294,BusStop_1+
0.15126754,0.4463458,-0.2972088,65311494,BusStop_1+
0.099069595,-0.44421527,-0.020240024,65311694,BusStop_1+
-0.3121225,-1.1025487,0.07989483,65311894,BusStop_1+
-0.41971418,-1.144094,0.07137272,65312094,BusStop_1+
-0.15765914,0.05752428,-0.10865697,65312294,BusStop_1+
-1.0801781,-2.5363946,-0.10333065,65312494,BusStop_1+
-0.15020229,-0.07882957,0.6221144,65312694,BusStop_1+
0.05326322,-0.36005938,-0.05006743,65312894,BusStop_1+
-0.08415589,0.22903186,-0.092678,65313094,BusStop_1+
-0.4910869,0.3952131,0.19920444,65313294,BusStop_1+
-0.044741105,0.083090626,0.041545313,65313493,BusStop_1+
0.26205504,0.040480047,-0.07989483,65313694,BusStop_1+
0.25033715,0.39095205,-0.27377295,65313894,BusStop_1+
0.32384038,0.5390238,-0.1768339,65314093,BusStop_1+
0.11611383,0.5187838,0.037284255,65314294,BusStop_1+
-0.011717909,-0.15978967,-0.061785337,65314494,BusStop_1+
-0.015978966,0.1438107,-0.13635385,65314694,BusStop_1+
0.06072007,-0.406931,-0.24927188,65314894,BusStop_1+
-0.22264026,-0.30786142,0.51984906,65315094,BusStop_1+
-0.17576863,0.3984089,-0.07456851,65315294,BusStop_1+
0.3206446,0.8021441,0.011717909,65315494,BusStop_1+
0.11824435,0.22050974,0.1768339,65315694,BusStop_1+
0.023435818,-0.58909124,-0.12996227,65315894,BusStop_1+
-0.020240024,-0.049002163,0.0127831735,65316094,BusStop_1+
0.2364887,0.12037488,-0.052197956,65316294,BusStop_1+
0.406931,-0.40906155,0.17789917,65316494,BusStop_1+
-0.08735169,-0.066046394,0.027696876,65316694,BusStop_1+
-0.3355583,0.31851408,0.08415589,65316894,BusStop_1+
-0.099069595,-1.1941614,-0.6689861,65317094,BusStop_1+
0.51984906,0.21198763,0.3206446,65317293,BusStop_1+
-0.051132694,0.2609898,0.6263755,65317493,BusStop_1+
-0.24714135,1.3528858,0.42397526,65317693,BusStop_1+
-0.23009712,1.2431636,-0.013848438,65317893,BusStop_1+
-0.07563377,0.04261058,0.3025351,65318094,BusStop_1+
0.0063915867,0.046871636,0.09161274,65318294,BusStop_1+
-0.07989483,-0.16831177,0.07243798,65318493,BusStop_1+
0.3685815,0.40586576,0.30679616,65318694,BusStop_1+
-0.2514024,-0.82771045,0.0031957934,65318894,BusStop_1+
0.109722234,0.5230448,-0.08522116,65319094,BusStop_1+
0.010652645,-0.06498113,-0.017044231,65319294,BusStop_1+
-0.07137272,-0.35899413,-0.109722234,65319493,BusStop_1+
-0.07563377,0.19281286,-0.07989483,65319693,BusStop_1+
0.18429075,0.10333065,0.039414786,65319893,BusStop_1+
0.02663161,0.113983296,0.0127831735,65320094,BusStop_1+
0.010652645,-0.26205504,-0.0127831735,65320294,BusStop_1+
0.128897,-0.013848438,-0.23222765,65320494,BusStop_1+
0.035153728,0.13954964,-0.06498113,65320694,BusStop_1+
-0.17044231,0.2695119,0.052197956,65320894,BusStop_1+
-0.033023197,-0.42290998,-0.08948221,65321094,BusStop_1+
-0.0127831735,0.024501082,0.0053263223,65321294,BusStop_1+
-0.03834952,-0.051132694,-0.002130529,65321494,BusStop_1+
0.098004326,-0.03621899,0.011717909,65321693,BusStop_1+
-0.044741105,-0.08948221,0.061785337,65321894,BusStop_1+
0.013848438,0.11504856,0.02876214,65322094,BusStop_1+
0.11504856,0.0479369,-0.034088463,65322294,BusStop_1+
0.099069595,0.08628642,-0.04261058,65322494,BusStop_1+
0.010652645,0.070307456,0.0127831735,65322694,BusStop_1+
-0.07669904,-0.06072007,0.01917476,65322894,BusStop_1+
-0.0479369,-0.21411815,0.020240024,65323094,BusStop_1+
-0.20879182,-0.19600865,0.02663161,65323293,BusStop_1+
-0.13635385,-0.2727077,0.020240024,65323494,BusStop_1+
-0.11611383,-0.43036684,0.05752428,65323694,BusStop_1+
-0.12996227,0.30786142,-0.013848438,65323894,BusStop_1+
0.029827405,0.16085494,0.054328486,65324093,BusStop_1+
-0.05006743,-0.08522116,-0.007456851,65324293,BusStop_1+
0.066046394,0.18216021,0.020240024,65324493,BusStop_1+
-0.011717909,0.15765914,-0.01917476,65324694,BusStop_1+
0.015978966,-0.19600865,0.070307456,65324894,BusStop_1+
-0.22903186,-0.42290998,-0.07563377,65325094,BusStop_1+
-0.18322548,-0.16298546,-0.22050974,65325294,BusStop_1+
-0.007456851,0.113983296,-0.0010652645,65325494,BusStop_1+
0.024501082,-0.029827405,0.0053263223,65325694,BusStop_1+
0.025566347,0.40586576,0.046871636,65325894,BusStop_1+
-0.051132694,-0.14913702,0.0031957934,65326094,BusStop_1+
0.0479369,-0.004261058,-0.018109495,65326294,BusStop_1+
0.058589544,0.083090626,0.022370553,65326494,BusStop_1+
0.04580637,-0.068176925,-0.0010652645,65326694,BusStop_1+
-0.018109495,-0.17150757,-0.014913702,65326894,BusStop_1+
-0.033023197,-0.0958738,-0.0010652645,65327094,BusStop_1+
0.015978966,-0.039414786,0.0031957934,65327294,BusStop_1+
-0.017044231,0.008522116,0.010652645,65327494,BusStop_1+
0.011717909,0.04580637,0.010652645,65327694,BusStop_1+
0.017044231,0.00958738,0.014913702,65327894,BusStop_1+
