-0.033023197,0.14168017,-0.10120012,66521990
-0.08522116,-0.55074173,-0.020240024,66522190
0.052197956,0.061785337,0.0,66522389
-0.01917476,-0.25033715,-0.054328486,66522590
0.096939065,0.013848438,-0.06924219,66522790
-0.029827405,-0.33342776,-0.03834952,66522990
-0.007456851,-0.1555286,0.041545313,66523190
0.02130529,0.08415589,0.015978966,66523389
-0.18109496,-0.5656554,0.007456851,66523590
0.3121225,0.28975192,-0.01917476,66539789
-0.08628642,-0.24820662,-0.018109495,66539990,Junction_1+
-0.03195793,0.0958738,0.004261058,66540191,Junction_1+
-0.01917476,-0.10439591,-0.0063915867,66540390,Junction_1+
0.052197956,0.11930962,0.01917476,66540591,Junction_1+
0.070307456,-0.033023197,0.03195793,66540791,Junction_1+
0.030892668,-0.06498113,0.008522116,66540990,Junction_1+
0.008522116,-0.01917476,0.024501082,66541191,Junction_1+
-0.013848438,-0.10439591,-0.034088463,66541390,Junction_1+
0.030892668,-0.040480047,0.013848438,66541590,Junction_1+
-0.0031957934,-0.00958738,-0.0031957934,66541791,Junction_1+
-0.023435818,-0.002130529,-0.013848438,66541990,Junction_1+
-0.07563377,0.03195793,0.02876214,66542191,Junction_1+
-0.00958738,-0.14594123,-0.017044231,66542390,Junction_1+
-0.056459013,-0.10013486,0.022370553,66542590,Junction_1+
0.01917476,-0.11930962,0.03834952,66542791,Junction_1+
0.13741912,-0.067111656,0.0777643,66542990,Junction_1+
0.024501082,-0.039414786,-0.004261058,66543191,Junction_1+
0.002130529,-0.0031957934,-0.0010652645,66543391,Junction_1+
-0.066046394,-0.058589544,0.014913702,66543590,Junction_1+
-0.0063915867,-0.10546118,-0.0031957934,66543790,Junction_1+
0.010652645,-0.029827405,-0.02663161,66543990,Junction_1+
0.02876214,0.0063915867,0.015978966,66544191,Junction_1+
0.008522116,0.035153728,0.02130529,66544393,Junction_1+
-0.041545313,-0.035153728,0.0031957934,66544590,Junction_1+
-0.06498113,-0.061785337,0.025566347,66544790,Junction_1+
-0.034088463,-0.061785337,0.013848438,66544990,Junction_1+
0.027696876,-0.00958738,0.014913702,66545191,Junction_1+
0.04580637,0.02130529,-0.0031957934,66545390,Junction_1+
0.008522116,-0.0010652645,0.0010652645,66545591,Junction_1+
-0.039414786,-0.082025364,0.0,66545790,Junction_1+
-0.054328486,-0.08415589,0.0053263223,66545990,Junction_1+
-0.0031957934,-0.02130529,0.004261058,66546191,Junction_1+
0.03195793,0.0063915867,-0.0010652645,66546391,Junction_1+
0.040480047,0.0053263223,0.004261058,66546591,Junction_1+
