#x,y,z,time
-0.17049545,0.39083725,0.8187973,60806407
-0.017663268,0.37616774,0.6996451,60806608
-0.106877744,0.38724473,0.7069798,60806808
-0.068258055,0.4700226,0.60204804,60807008
-0.07005432,0.4670288,0.7021898,60807208
-0.16301101,0.35072067,0.65892977,60807407
0.018112335,0.34533188,0.6095325,60807608
0.017663268,0.38410127,0.6604266,60807808
0.069455564,0.35356477,0.7246431,60812407
0.013172608,0.318837,0.7282356,60812608,BusStop_1+
0.058228914,0.30701157,0.633782,60812808,BusStop_1+
0.04565506,0.31748977,0.6120772,60813008,BusStop_1+
0.16929795,0.33126113,0.5599855,60813207,BusStop_1+
0.2230362,0.2228865,0.67105454,60813408,BusStop_1+
0.0889151,0.34024248,0.73437285,60813607,BusStop_1+
0.052989807,0.4034111,0.7378157,60813808,BusStop_1+
0.0690065,0.3170407,0.690065,60814007,BusStop_1+
0.12499008,0.2802173,0.77613604,60814207,BusStop_1+
0.1552272,0.3903882,0.6661148,60814407,BusStop_1+
-0.05583389,0.2721341,0.63557833,60814608,BusStop_1+
0.13367203,0.3543132,0.58992326,60814808,BusStop_1+
-0.02694397,0.3929329,0.55833894,60815008,BusStop_1+
0.02469864,0.33365616,0.64919996,60815208,BusStop_1+
-0.104931794,0.3264711,0.7113208,60815408,BusStop_1+
-0.22632934,0.36988083,0.67210233,60815608,BusStop_1+
0.09295669,0.3555107,0.6147716,60815808,BusStop_1+
0.07978409,0.3689827,0.6677614,60816008,BusStop_1+
0.061671752,0.33664992,0.619861,60816208,BusStop_1+
0.08861572,0.32287857,0.6638695,60816407,BusStop_1+
0.084574126,0.29758117,0.6261479,60816608,BusStop_1+
0.11256592,0.33934432,0.63587767,60816808,BusStop_1+
0.14010864,0.3504213,0.6408174,60817008,BusStop_1+
0.059426423,0.40251297,0.6637198,60817208,BusStop_1+
0.09011261,0.4062552,0.69725007,60817407,BusStop_1+
0.16480727,0.33485368,0.7544311,60817608,BusStop_1+
0.04011658,0.39472917,0.65878004,60817808,BusStop_1+
0.13112731,0.30581406,0.69635195,60818008,BusStop_1+
0.08322693,0.30461654,0.6251001,60818208,BusStop_1+
0.10897339,0.3266208,0.5510042,60818407,BusStop_1+
0.122744754,0.35251695,0.60264677,60818608,BusStop_1+
0.11196716,0.37242553,0.6367758,60818808,BusStop_1+
0.10732681,0.36673737,0.7104227,60819008,BusStop_1+
0.05643265,0.33335677,0.7355704,60819208,BusStop_1+
0.07125183,0.36179763,0.68811905,60819407,BusStop_1+
0.084125064,0.34847534,0.7030879,60819608,BusStop_1+
0.07723938,0.3106041,0.6505472,60819808,BusStop_1+
0.07514374,0.3080594,0.6343808,60820008,BusStop_1+
0.11526032,0.3025209,0.58109164,60820208,BusStop_1+
0.10208771,0.3170407,0.6027965,60820408,BusStop_1+
0.07664063,0.35581008,0.60743684,60820607,BusStop_1+
0.086969145,0.35221756,0.68018556,60820808,BusStop_1+
0.06990463,0.35506165,0.7225475,60821008,BusStop_1+
0.060623933,0.37841308,0.7143146,60821208,BusStop_1+
0.07140152,0.3435356,0.6756949,60821408,BusStop_1+
0.066761166,0.33964372,0.64470935,60821607,BusStop_1+
0.07903565,0.32557297,0.6146219,60821807,BusStop_1+
0.10627899,0.3221301,0.5974077,60822007,BusStop_1+
0.103285216,0.34413436,0.6056406,60822207,BusStop_1+
0.104632415,0.36030075,0.678539,60822407,BusStop_1+
0.07304809,0.37302428,0.71700895,60822608,BusStop_1+
0.05598358,0.37781432,0.7526349,60822808,BusStop_1+
0.062420197,0.33410522,0.74889266,60823008,BusStop_1+
0.03592529,0.29398865,0.69485503,60823207,BusStop_1+
0.123193815,0.29533586,0.6465056,60823406,BusStop_1+
0.04415817,0.2829117,0.59246796,60823608,BusStop_1+
0.10657837,0.28321105,0.5495073,60823808,BusStop_1+
0.069305874,0.31150222,0.585732,60824008,BusStop_1+
0.11106903,0.3517685,0.6478528,60824207,BusStop_1+
0.027243348,0.37452117,0.69994444,60824407,BusStop_1+
0.04924759,0.36209702,0.7117699,60824608,BusStop_1+
0.09699829,0.36583924,0.7421567,60824808,BusStop_1+
0.04550537,0.36823425,0.70293826,60825008,BusStop_1+
0.043559417,0.3676355,0.62569886,60825208,BusStop_1+
0.06795868,0.33694932,0.61791503,60825406,BusStop_1+
0.08128098,0.2811154,0.64291304,60825608,BusStop_1+
0.105680235,0.32467484,0.60354495,60825808,BusStop_1+
0.09699829,0.3450325,0.6572832,60826007,BusStop_1+
0.07229965,0.35910323,0.7262897,60826208,BusStop_1+
0.060623933,0.35775605,0.7192543,60826407,BusStop_1+
0.06661148,0.34024248,0.7421567,60826607,BusStop_1+
0.07304809,0.3489244,0.72539157,60826807,BusStop_1+
0.043110352,0.3198848,0.69859725,60827007,BusStop_1+
0.060324553,0.30626312,0.642464,60827207,BusStop_1+
0.11196716,0.42810974,0.84454376,60827407,BusStop_1+
0.63018954,0.001047821,0.64830184,60827607,BusStop_1+
0.07080276,0.617466,0.56746995,60827807,BusStop_1+
-0.124690704,0.46762756,1.2548405,60828007,BusStop_1+
0.53019744,0.84604067,0.5141808,60828207,BusStop_1+
-0.20776795,0.022453308,0.21929398,60828407,BusStop_1+
-0.17618363,0.74410266,1.1491603,60828607,BusStop_1+
0.060174868,0.352966,0.33096176,60828807,BusStop_1+
-0.18681152,0.40415955,1.1301498,60829007,BusStop_1+
-0.24279511,0.4739145,0.8159532,60829207,BusStop_1+
0.046104126,0.9421408,1.167123,60829407,BusStop_1+
-0.6170169,1.2296928,0.085023195,60829607,BusStop_1+
0.17229171,0.76505905,0.64351183,60829807,BusStop_1+
0.24219635,0.21989273,0.7933502,60830007,BusStop_1+
-0.08038285,-0.16750167,0.6532416,60830207,BusStop_1+
0.5863307,0.12708573,1.2837305,60830407,BusStop_1+
0.00464035,0.025896149,0.94648176,60830607,BusStop_1+
-0.11376343,0.01751358,0.7873627,60830807,BusStop_1+
-0.31374756,0.22917344,0.83002394,60831007,BusStop_1+
-0.02799179,-0.062719576,0.7631131,60831207,BusStop_1+
-0.7447014,-0.067509614,0.68407744,60831407,BusStop_1+
-1.1867322,-0.14415024,0.74290514,60831607,BusStop_1+
-0.18920654,0.31898665,0.75742495,60831807,BusStop_1+
0.07439529,0.13516891,0.7262897,60832007,BusStop_1+
-0.4857399,-0.102387086,0.9957294,60832207,BusStop_1+
-0.66027695,-0.19010468,0.79544586,60832406,BusStop_1+
0.1445993,0.15358062,0.5798941,60832607,BusStop_1+
-0.31509477,0.09939331,1.0078541,60832807,BusStop_1+
-0.17558487,0.013771363,0.8333171,60833007,BusStop_1+
0.07229965,-0.044756927,0.8927435,60833207,BusStop_1+
0.27123597,0.07349716,0.7833211,60833407,BusStop_1+
0.056582335,0.08187973,0.8833131,60833607,BusStop_1+
0.05718109,-0.030237122,0.89768326,60833807,BusStop_1+
0.04924759,-0.012124786,0.87493056,60834007,BusStop_1+
0.068258055,0.015268249,0.86100954,60834207,BusStop_1+
-0.04086502,-0.11256592,0.8262817,60834406,BusStop_1+
-0.08652008,-0.1207988,0.77553725,60834607,BusStop_1+
-0.03397934,-0.14115646,0.7779323,60834807,BusStop_1+
-0.2586621,-0.041613463,0.8092172,60835007,BusStop_1+
-0.21704865,-0.06197113,0.81041473,60835207,BusStop_1+
-0.0742456,-0.12633727,0.8319699,60835406,BusStop_1+
0.1061293,-0.051941987,0.8152048,60835607,BusStop_1+
5.987549E-4,-0.07484436,0.85307604,60835806,BusStop_1+
-0.0013471985,-0.09280701,0.8452922,60836007,BusStop_1+
0.0035925293,-0.08906479,0.8222401,60836207,BusStop_1+
-0.019459534,-0.11331436,0.81385756,60836407,BusStop_1+
-0.00943039,-0.09475296,0.82179105,60836607,BusStop_1+
0.010627899,-0.07933502,0.8276289,60836807,BusStop_1+
0.031135254,-0.09535172,0.83690965,60837007,BusStop_1+
-0.00583786,-0.11930191,0.8562195,60837207,BusStop_1+
0.012723541,-0.12064911,0.8710387,60837406,BusStop_1+
0.0092807,-0.106877744,0.87627774,60837607,BusStop_1+
0.02469864,-0.105979614,0.84155,60837807,BusStop_1+
-0.001646576,-0.14953904,0.7927515,60838006,BusStop_1+
-0.035775606,-0.10538086,0.78721297,60838207,BusStop_1+
0.039517824,-0.09520203,0.7861652,60838409,BusStop_1+
0.041314088,-0.08741821,0.8143066,60838607,BusStop_1+
0.051792298,-0.09355545,0.82074326,60838807,BusStop_1+
0.03397934,-0.087118834,0.85532135,60839006,BusStop_1+
-0.02350113,-0.07694,0.86071014,60839206,BusStop_1+
0.016765136,-0.07723938,0.85666853,60839406,BusStop_1+
0.03517685,-0.10912308,0.816552,60839607,BusStop_1+
0.0019459534,-0.11421249,0.7936496,60839807,BusStop_1+
0.030686188,-0.09699829,0.8044272,60840006,BusStop_1+
0.027093658,-0.09235794,0.82583266,60840206,BusStop_1+
0.03772156,-0.10538086,0.82807803,60840406,BusStop_1+
0.034578096,-0.09849518,0.8443941,60840606,BusStop_1+
0.054037627,-0.121996306,0.8759784,60840807,BusStop_1+
0.034727782,-0.09610016,0.87238586,60841006,BusStop_1+
0.028740235,-0.11376343,0.84199905,60841207,BusStop_1+
0.026345216,-0.11451187,0.8063731,60841407,BusStop_1+
0.008382568,-0.1260379,0.78915894,60841606,BusStop_1+
0.026045837,-0.11226654,0.7879614,60841807,BusStop_1+
0.01751358,-0.084873505,0.8002359,60842007,BusStop_1+
0.046253815,-0.084873505,0.8105644,60842207,BusStop_1+
0.04924759,-0.085172884,0.85382444,60842406,BusStop_1+
0.020657044,-0.11406281,0.866548,60842607,BusStop_1+
0.05254074,-0.07469467,0.86445236,60842807,BusStop_1+
0.0050894166,-0.105829924,0.8267308,60843007,BusStop_1+
0.0055384827,-0.120948486,0.7887099,60843207,BusStop_1+
0.032931518,-0.085771635,0.8132588,60843406,BusStop_1+
0.042810973,-0.10044113,0.8123607,60843607,BusStop_1+
0.03517685,-0.09310638,0.8319699,60843807,BusStop_1+
0.020956421,-0.119002536,0.8449928,60844007,BusStop_1+
0.05882767,-0.13322297,0.8821156,60844206,BusStop_1+
0.044008482,-0.09460327,0.88570815,60844406,BusStop_1+
0.07080276,-0.103135526,0.861758,60844607,BusStop_1+
0.023800507,-0.11451187,0.80906755,60844807,BusStop_1+
0.00583786,-0.13097763,0.77972853,60845006,BusStop_1+
0.019758912,-0.10208771,0.7960446,60845206,BusStop_1+
0.03847,-0.0875679,0.8045769,60845406,BusStop_1+
0.047301635,-0.069455564,0.80772036,60845607,BusStop_1+
0.043110352,-0.083526306,0.8437953,60845807,BusStop_1+
0.049846344,-0.10208771,0.8620573,60846007,BusStop_1+
0.05254074,-0.07738907,0.8557704,60846207,BusStop_1+
0.038020935,-0.08637039,0.814606,60846406,BusStop_1+
0.019609222,-0.09624985,0.7955955,60846607,BusStop_1+
0.021106109,-0.10822494,0.80846876,60846807,BusStop_1+
0.015717316,-0.09894425,0.81640226,60847007,BusStop_1+
0.03996689,-0.087118834,0.82044387,60847207,BusStop_1+
0.044756927,-0.10972183,0.8508307,60847406,BusStop_1+
0.057031404,-0.10627899,0.8858578,60847607,BusStop_1+
0.029488677,-0.11451187,0.8559201,60847807,BusStop_1+
0.03607498,-0.09924362,0.82747924,60848007,BusStop_1+
0.023650818,-0.1300795,0.81295943,60848206,BusStop_1+
0.015268249,-0.12513977,0.8161029,60848406,BusStop_1+
0.010927277,-0.07813751,0.79963714,60848607,BusStop_1+
0.05583389,-0.09175918,0.78481793,60848807,BusStop_1+
0.087268524,-0.043709107,0.82643145,60849006,BusStop_1+
0.04954697,-0.12543915,0.86894304,60849206,BusStop_1+
-0.0068856813,-0.08637039,0.85816544,60849406,BusStop_1+
0.014519806,-0.100291446,0.82972455,60849607,BusStop_1+
0.03996689,-0.09924362,0.8003856,60849806,BusStop_1+
0.035775606,-0.09415421,0.8038284,60850006,BusStop_1+
0.022453308,-0.084873505,0.7964937,60850205,BusStop_1+
0.034278717,-0.101638645,0.818947,60850406,BusStop_1+
0.023201752,-0.10897339,0.8589139,60850607,BusStop_1+
0.042062532,-0.124541014,0.8693921,60850807,BusStop_1+
0.04580475,-0.09415421,0.8602611,60851007,BusStop_1+
0.038170625,-0.11032059,0.8376581,60851206,BusStop_1+
0.023800507,-0.11735596,0.8066725,60851406,BusStop_1+
0.020657044,-0.13127701,0.78347075,60851607,BusStop_1+
0.02215393,-0.08741821,0.7937993,60851806,BusStop_1+
0.030386811,-0.09654923,0.8063731,60852006,BusStop_1+
0.051193543,-0.07738907,0.8298743,60852206,BusStop_1+
0.03637436,-0.09759705,0.84888476,60852406,BusStop_1+
0.038320314,-0.09235794,0.88031936,60852606,BusStop_1+
0.030087434,-0.09310638,0.8551717,60852806,BusStop_1+
0.03847,-0.0955014,0.8262817,60853006,BusStop_1+
0.00583786,-0.119900666,0.81565386,60853206,BusStop_1+
0.027093658,-0.10717712,0.79858935,60853406,BusStop_1+
0.05478607,-0.09595047,0.81415695,60853606,BusStop_1+
0.025147704,-0.0981958,0.8187973,60853806,BusStop_1+
0.035775606,-0.09999207,0.83825684,60854006,BusStop_1+
0.011526031,-0.14489868,0.8997789,60854206,BusStop_1+
0.057031404,-0.101339266,0.88690567,60854407,BusStop_1+
0.056881715,-0.088166654,0.84484315,60854605,BusStop_1+
