0.11196716,-0.18726058,0.90037763,64240548
0.13082795,-0.09235794,0.9425899,64240748
-0.49921188,-0.05882767,0.27887008,64240948
-0.314496,-0.16839981,1.1822416,64241148
-0.26884094,-0.12558883,0.74515045,64241348
-0.4245172,-0.066761166,0.38993913,64241548
-0.4432283,-0.15687378,1.1448194,64241748
-0.31464568,-0.0981958,0.59351575,64241948
-0.352966,-0.11885285,0.63932055,64242148
-0.32272887,-0.2321672,0.77269316,64260148
-0.2917433,-0.13337265,0.7620653,64260348,Junction_1+
-0.24114853,-0.09295669,0.78691363,64260549,Junction_1+
-0.16974701,-0.1526825,0.8187973,64260748,Junction_1+
-0.07155121,-0.13891113,0.8214917,64260948,Junction_1+
-0.25267455,-0.1392105,0.8159532,64261148,Junction_1+
-0.18501526,-0.16540603,0.8012837,64261349,Junction_1+
-0.17064515,-0.14355148,0.83945435,64261548,Junction_1+
-0.1911525,-0.100291446,0.81385756,64261748,Junction_1+
-0.31793883,-0.1498384,0.82583266,64261948,Junction_1+
-0.64321244,-0.16825013,0.6836284,64262149,Junction_1+
-0.6819818,-0.12918137,0.6556366,64262348,Junction_1+
-0.5242099,-0.17812958,0.737666,64262549,Junction_1+
-0.37003052,-0.1101709,0.8032297,64262749,Junction_1+
-0.35760635,-0.1061293,0.77044785,64262949,Junction_1+
-0.33724868,-0.0755928,0.782872,64263149,Junction_1+
-0.30955628,-0.10957214,0.75562865,64263349,Junction_1+
-0.30192214,-0.09699829,0.77838135,64263549,Junction_1+
-0.2643503,-0.10059082,0.7816745,64263749,Junction_1+
-0.23650818,-0.066162415,0.82613206,64263949,Junction_1+
-0.22318588,-0.06885681,0.8402028,64264149,Junction_1+
-0.2189946,-0.04924759,0.8125104,64264349,Junction_1+
-0.14938934,2.9937745E-4,0.82238984,64264549,Junction_1+
-0.16346008,-0.056881715,0.7984396,64264749,Junction_1+
-0.20207977,-0.066761166,0.7851173,64264949,Junction_1+
-0.12903167,-0.062270507,0.7966434,64265149,Junction_1+
-0.14429992,-0.057929534,0.8250842,64265349,Junction_1+
-0.16944763,-0.064216465,0.8491841,64265549,Junction_1+
-0.15881974,-0.05733078,0.81954575,64265749,Junction_1+
-0.15492782,-0.062869266,0.7958949,64265949,Junction_1+
-0.19818787,-0.083975375,0.7803273,64266149,Junction_1+
-0.19669098,-0.0916095,0.7695497,64266348,Junction_1+
-0.17812958,-0.08307724,0.7940987,64266548,Junction_1+
-0.1950444,-0.086071014,0.8285271,64266749,Junction_1+
-0.17797989,-0.08427475,0.8551717,64266949,Junction_1+
-0.18366806,-0.07978409,0.8231383,64267149,Junction_1+
-0.16316071,-0.066162415,0.7936496,64267349,Junction_1+
-0.17109421,-0.07379654,0.7656578,64267549,Junction_1+
-0.16600479,-0.09310638,0.7680528,64267749,Junction_1+
-0.17094451,-0.0955014,0.7830217,64267949,Junction_1+
-0.21914428,-0.103285216,0.7937993,64268149,Junction_1+
-0.19145188,-0.101339266,0.83092207,64268349,Junction_1+
-0.17872833,-0.06915619,0.8243358,64268549,Junction_1+
-0.20207977,-0.0676593,0.7912546,64268749,Junction_1+
-0.14879058,-0.05493576,0.773741,64268949,Junction_1+
-0.1992357,-0.08637039,0.7680528,64269149,Junction_1+
-0.1778302,-0.07574249,0.7870633,64269349,Junction_1+
-0.16241226,-0.07783814,0.81415695,64269548,Junction_1+
-0.17184265,-0.084424436,0.83406556,64269749,Junction_1+
-0.20432511,-0.10732681,0.83346677,64269949,Junction_1+
-0.14474899,-0.08187973,0.77448946,64270148,Junction_1+
-0.15298188,-0.06331833,0.78062665,64270348,Junction_1+
-0.17797989,-0.09355545,0.73976165,64270548,Junction_1+
-0.07065307,-0.0071850587,0.7879614,64270749,Junction_1+
-0.14564712,-0.0676593,0.8150551,64270949,Junction_1+
-0.18726058,-0.10837463,0.8114626,64271149,Junction_1+
-0.19010468,-0.09849518,0.8265811,64271349,Junction_1+
-0.18127304,-0.069455564,0.8026309,64271549,Junction_1+
-0.18905686,-0.09505234,0.7702982,64271749,Junction_1+
-0.16645385,-0.07933502,0.75847274,64271949,Junction_1+
-0.17064515,-0.101638645,0.78062665,64272149,Junction_1+
-0.17184265,-0.104931794,0.7994875,64272349,Junction_1+
-0.19624192,-0.11301498,0.8412506,64272549,Junction_1+
-0.19609222,-0.10298584,0.8449928,64272749,Junction_1+
-0.15163468,-0.086220704,0.81041473,64272949,Junction_1+
-0.17887802,-0.09190887,0.77419007,64273149,Junction_1+
-0.16121475,-0.082777865,0.77014846,64273349,Junction_1+
-0.16151413,-0.09056167,0.7833211,64273549,Junction_1+
-0.18726058,-0.09610016,0.7952962,64273749,Junction_1+
-0.16420853,-0.083975375,0.81670165,64273949,Junction_1+
-0.15088624,-0.051941987,0.8563692,64274149,Junction_1+
-0.18007553,-0.09205856,0.7946974,64274349,Junction_1+
-0.18157242,-0.08038285,0.7810757,64274549,Junction_1+
-0.176483,-0.09265732,0.7854167,64274748,Junction_1+
-0.16046631,-0.10822494,0.762664,64274949,Junction_1+
-0.16630417,-0.09924362,0.7934999,64275149,Junction_1+
-0.1405577,-0.07918534,0.81565386,64275349,Junction_1+
-0.20058289,-0.104033664,0.8400531,64275549,Junction_1+
-0.13157639,-0.067210235,0.82717985,64275749,Junction_1+
-0.14534774,-0.07858658,0.7858658,64275949,Junction_1+
-0.17408799,-0.07768845,0.81011534,64276149,Junction_1+
-0.13382171,-0.084873505,0.77868074,64276349,Junction_1+
-0.16091537,-0.09071136,0.7870633,64276549,Junction_1+
-0.14759308,-0.08008347,0.80727124,64276749,Junction_1+
-0.15238312,-0.068108365,0.8316705,64276949,Junction_1+
-0.15477814,-0.07843689,0.8041278,64277149,Junction_1+
-0.14474899,-0.07289841,0.7855664,64277349,Junction_1+
-0.16645385,-0.0755928,0.77613604,64277549,Junction_1+
-0.16810043,-0.07933502,0.81041473,64277748,Junction_1+
-0.14355148,-0.09355545,0.8053253,64277949,Junction_1+
-0.16271164,-0.087268524,0.83795744,64278149,Junction_1+
-0.18157242,-0.09175918,0.84708846,64278349,Junction_1+
-0.17304017,-0.09385483,0.818947,64278549,Junction_1+
-0.19354752,-0.08666977,0.76925033,64278749,Junction_1+
-0.16585511,-0.08083191,0.7779323,64278949,Junction_1+
-0.16630417,-0.103434905,0.7747888,64279149,Junction_1+
-0.15013778,-0.09235794,0.7851173,64279349,Junction_1+
-0.1633104,-0.07364685,0.82807803,64279549,Junction_1+
-0.17289047,-0.082927555,0.8291258,64279749,Junction_1+
-0.15597564,-0.07888596,0.7738907,64279949,Junction_1+
-0.16211289,-0.07918534,0.773741,64280149,Junction_1+
-0.18396744,-0.102536775,0.7887099,64280349,Junction_1+
-0.1737886,-0.09116043,0.80337936,64280549,Junction_1+
-0.16106506,-0.107027434,0.81041473,64280749,Junction_1+
-0.16825013,-0.08936416,0.83346677,64280949,Junction_1+
-0.17723145,-0.09295669,0.8243358,64281149,Junction_1+
-0.15777192,-0.065863036,0.81640226,64281349,Junction_1+
-0.1817221,-0.1115181,0.7870633,64281549,Junction_1+
-0.17932709,-0.09370514,0.7723938,64281749,Junction_1+
-0.17528549,-0.09624985,0.7855664,64281949,Junction_1+
-0.18591338,-0.09041199,0.82298857,64282149,Junction_1+
-0.14953904,-0.08786728,0.8403525,64282349,Junction_1+
-0.13471985,-0.099543,0.8508307,64282549,Junction_1+
-0.121397555,-0.066162415,0.8123607,64282749,Junction_1+
-0.14235397,-0.07125183,0.77957886,64282949,Junction_1+
