-0.15043716,-0.19968475,0.7165599,65722712
-0.27108628,-0.08996292,0.53049684,65722912
-0.015417938,-0.23186783,1.4861096,65723111
-0.032332763,-0.29907808,1.1035053,65723312
0.07499405,-0.22273682,0.35670823,65723511
-0.14654526,-0.020657044,0.6343808,65723712
-0.04415817,-0.32003447,0.898282,65723912
-0.09729767,-0.05598358,0.7557784,65724112,BrokenRoad_1+
-0.10837463,0.087118834,1.0186317,65724312,BrokenRoad_1+
0.011526031,-0.27812165,0.71790713,65724511,BrokenRoad_1+
-0.6394702,0.41673338,-0.3158432,65724712,BrokenRoad_1+
0.37018022,-0.5918692,1.9664607,65724912,BrokenRoad_1+
-0.11570938,0.15567628,1.6510665,65725112,BrokenRoad_1+
0.07993378,-0.19953507,0.26075774,65725312,BrokenRoad_1+
-0.26509872,0.40311173,0.7364685,65725512,BrokenRoad_1+
-0.04535568,-0.058977354,-0.081580356,65725712,BrokenRoad_1+
-0.7370673,0.15073654,0.721799,65725912,BrokenRoad_1+
0.0717009,-0.0047900393,2.2659879,65726112,BrokenRoad_1+
-0.102686465,-0.1511856,0.9889934,65726312,BrokenRoad_1+
0.2243834,-0.20686981,1.0081536,65726512,BrokenRoad_1+
-0.0035925293,0.11615845,0.37062928,65726712,BrokenRoad_1+
0.23516098,-0.3463797,1.2871733,65726912,BrokenRoad_1+
-0.13561799,-0.066461794,0.89169574,65727112,BrokenRoad_1+
0.08876541,-0.23306534,1.3590239,65727311,BrokenRoad_1+
-0.041763153,-0.01167572,1.2461586,65727512,BrokenRoad_1+
-0.39787263,0.7433542,-0.03502716,65727712,BrokenRoad_1+
-0.2335144,-0.5110373,0.72673875,65727912,BrokenRoad_1+
-0.033530273,0.13741425,0.7632628,65728111,BrokenRoad_1+
-0.063767396,-0.037871245,1.3793815,65728312,BrokenRoad_1+
-0.04535568,-0.29368928,-0.0055384827,65728511,BrokenRoad_1+
-0.19474502,-0.60459274,1.219514,65728712,BrokenRoad_1+
-0.3186873,0.9515712,0.6173163,65728912,BrokenRoad_1+
0.18800904,-0.059127044,1.8155745,65729112,BrokenRoad_1+
-0.013921051,-0.53828067,0.5474117,65729312,BrokenRoad_1+
-0.1579216,0.22902374,1.4465919,65729512,BrokenRoad_1+
-0.2269281,-0.08068222,0.3968248,65729712,BrokenRoad_1+
-0.058228914,-0.15043716,1.2632232,65729912,BrokenRoad_1+
-0.26644593,0.1672023,0.27033782,65730112,BrokenRoad_1+
-0.21570145,-0.14444962,1.0033635,65730312,BrokenRoad_1+
0.11436218,-0.41074586,1.1903247,65730512,BrokenRoad_1+
-0.061671752,0.09939331,-0.17723145,65730711,BrokenRoad_1+
-0.007933502,-0.07978409,1.7476158,65730912,BrokenRoad_1+
-0.0981958,-0.07544312,0.7572752,65731112,BrokenRoad_1+
-0.0796344,0.33605117,1.4859599,65731312,BrokenRoad_1+
0.046104126,-0.09475296,0.84484315,65731511,BrokenRoad_1+
0.040415954,-0.21510269,0.82268924,65731712,BrokenRoad_1+
-0.020806732,-0.27288255,0.42272094,65731912,BrokenRoad_1+
-0.0411644,-0.2829117,0.6373746,65732111,BrokenRoad_1+
-0.39098695,0.66716266,0.46343628,65732312,BrokenRoad_1+
0.18726058,-0.80876815,1.2100836,65732512,BrokenRoad_1+
-0.08023316,-0.104782104,1.2211605,65732712,BrokenRoad_1+
0.024998017,-0.21944366,0.16166382,65732911,BrokenRoad_1+
-0.0477507,0.24548951,1.257535,65733111,BrokenRoad_1+
-0.07544312,0.11391312,0.9476793,65733312,BrokenRoad_1+
-0.3225792,-0.15013778,-0.24773483,65733512,BrokenRoad_1+
0.043709107,-0.15163468,1.6581019,65733712,BrokenRoad_1+
-0.084723815,-0.082777865,1.4635066,65733911,BrokenRoad_1+
-0.27363098,0.10208771,0.5920189,65734112,BrokenRoad_1+
-0.010328522,-0.2868036,0.19938537,65734312,BrokenRoad_1+
0.25911117,-0.18890716,1.5346087,65734512,BrokenRoad_1+
-0.17723145,-0.24429199,0.52001864,65734712,BrokenRoad_1+
0.030686188,-0.18501526,0.72703815,65734912,BrokenRoad_1+
-0.29892838,0.2613565,1.1249107,65735112,BrokenRoad_1+
0.03757187,-0.013172608,1.7371376,65735312,BrokenRoad_1+
-0.70114195,0.5983058,0.5572911,65735511,BrokenRoad_1+
-0.31359786,-0.43304947,0.5590874,65735711,BrokenRoad_1+
-0.08053253,-0.80727124,0.29952714,65735911,BrokenRoad_1+
-0.31210098,-0.23860382,0.7958949,65736112,BrokenRoad_1+
0.14938934,0.12708573,1.1302996,65736312,BrokenRoad_1+
0.05763016,0.82493454,0.29788056,65736511,BrokenRoad_1+
-0.41299117,-0.5215155,0.6251001,65736712,BrokenRoad_1+
-0.45879593,0.053289186,0.3436853,65736912,BrokenRoad_1+
-0.2507286,-0.30731094,1.0731184,65737112,BrokenRoad_1+
-0.03592529,-0.107925564,0.481848,65738312,BrokenRoad_1+
-0.511636,0.06780899,0.17872833,65738512,BrokenRoad_1+
-0.27108628,-0.13786331,1.3748909,65738712,BrokenRoad_1+
-0.5201683,-0.15208374,-0.060623933,65738915,BrokenRoad_1+
