-0.1751358,0.040565643,1.6486716,66521990
0.06316864,0.064815216,1.1596385,66522190
0.01871109,0.012723541,0.47331575,66522389
0.1101709,-0.11106903,0.65099627,66522590
-0.060773622,-0.16750167,1.1003618,66522790
-0.036673736,-0.054037627,0.4643344,66522990
-0.28051665,-0.011825409,1.3789325,66523190
-0.24459137,-0.061372377,0.9244775,66523389
-0.106728055,-0.021255799,0.3091072,66523590
-0.01886078,-0.087268524,1.287772,66539789
-0.19953507,0.14429992,0.7890093,66539990,Junction_1+
-0.08173004,-0.30296996,0.3713777,66540191,Junction_1+
-0.11915222,-0.06795868,1.4218931,66540390,Junction_1+
0.021555176,-0.09190887,0.6481522,66540591,Junction_1+
-0.036823425,-0.010029145,0.9500743,66540791,Junction_1+
-0.0796344,-0.09759705,1.1311977,66540990,Junction_1+
0.08981323,-0.18202148,0.6445596,66541191,Junction_1+
0.01751358,-0.0823288,1.1662248,66541390,Junction_1+
-0.016166382,-0.19863693,0.8710387,66541590,Junction_1+
-0.0199086,-0.22079086,0.83810717,66541791,Junction_1+
0.0011975098,-0.02679428,1.0424323,66541990,Junction_1+
0.060623933,0.05583389,0.9457333,66542191,Junction_1+
0.00703537,-0.087268524,0.94423646,66542390,Junction_1+
-0.020507354,-0.07694,0.868494,66542590,Junction_1+
-0.052989807,-0.048499145,0.9689351,66542791,Junction_1+
-1.0553055,0.00703537,0.89992857,66542990,Junction_1+
-1.053659,-0.08217911,0.6303392,66543191,Junction_1+
-0.5264552,-0.023950195,0.85277665,66543391,Junction_1+
-0.6408174,0.023650818,0.6911128,66543590,Junction_1+
-0.48080018,-0.01407074,0.834814,66543790,Junction_1+
-0.59351575,-0.01871109,0.8027806,66543990,Junction_1+
-0.33425492,0.016016694,0.8833131,66544191,Junction_1+
-0.3412903,-0.026345216,0.8147557,66544393,Junction_1+
-0.2800676,-0.008532257,0.8352631,66544590,Junction_1+
-0.31105316,-0.003293152,0.80652285,66544790,Junction_1+
-0.28425887,-0.015417938,0.837209,66544990,Junction_1+
-0.21704865,-0.04924759,0.8518785,66545191,Junction_1+
-0.17259109,-0.033081207,0.85053134,66545390,Junction_1+
-0.18007553,-0.03966751,0.8265811,66545591,Junction_1+
-0.14804214,-0.017663268,0.84110093,66545790,Junction_1+
-0.15313156,-0.028440857,0.82238984,66545990,Junction_1+
-0.15642472,-0.031135254,0.8345146,66546191,Junction_1+
-0.15178436,-0.026045837,0.839604,66546391,Junction_1+
-0.19803818,-0.03847,0.84454376,66546591,Junction_1+
-0.13322297,-0.028291168,0.8643027,66546791,Junction_1+
-0.13262421,-0.028440857,0.83511335,66546990,Junction_1+
-0.09475296,-0.015567627,0.8243358,66547191,Junction_1+
-0.12843293,-0.028291168,0.82179105,66547390,Junction_1+
-0.09939331,-0.051941987,0.84993255,66547590,Junction_1+
-0.10178833,-0.044008482,0.87627774,66547790,Junction_1+
-0.056732025,-0.051642608,0.8662486,66547990,Junction_1+
-0.0755928,-0.052391052,0.8454419,66548190,Junction_1+
-0.07439529,-0.022752685,0.83002394,66548390,Junction_1+
