Latitude,Longitude,Busstop
23.5643733333,87.2828766667,1
23.5796166667,87.27348,2
23.5822933333,87.2760333333,3
23.5887683333,87.2819916667,4
23.586395,87.28756,5
23.580105,87.2874733333,6
23.5741033333,87.2992183333,7
23.5721383333,87.3025833333,8
23.5599883333,87.29877,9
23.5357883333,87.2977683333,10
23.5281866667,87.311195,11
23.4942566667,87.3170733333,12
23.56443,87.2824616667,13
23.5465916667,87.3099133333,14
23.4942133333,87.3170933333,15
23.5643516667,87.282615,16
23.5720266667,87.3025883333,17
23.5357166667,87.2978633333,18
23.4942033333,87.3171283333,19
23.5645166667,87.2823633333,20
23.5466466667,87.3098183333,21
23.5357116667,87.29787,22
23.5643483333,87.2827283333,23
