Latitude,Longitude,Busstop
23.4942383333,87.3171033333,1
23.503225,87.30748,2
23.5351083333,87.2977033333,3
23.53747,87.2967416667,4
23.5719366667,87.3025533333,5
23.57399,87.2986233333,6
23.5799983333,87.28747,7
23.5888516667,87.282115,8
23.5821166667,87.275995,9
23.5795,87.27349,10
23.5736683333,87.27648,11
23.564335,87.28272,12
23.5002583333,87.3058966667,13
23.5282933333,87.31113,14
23.560005,87.2986933333,15
23.4941616667,87.3170583333,16
23.5791633333,87.2915516667,17
23.5861683333,87.2875666667,18
23.49325,87.3164116667,19
23.4932766667,87.31628,20
23.53514,87.297475,21
23.5792066667,87.291555,22
23.4942183333,87.3171133333,23
23.572085,87.3025766667,24
23.58618,87.2875883333,25
23.56432,87.2827233333,26
